ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005615,extracellular space,54/214,409/8488,0.13202933985330073,5.236752507826245,14.123494807874488,5.021180051711612e-25,1.3868499302827473e-21,1.1553999571622722e-21,LOC111327082/LOC111328748/LOC111328024/LOC111320817/LOC111336303/LOC111325642/LOC111320871/LOC111323911/LOC111340635/LOC111334934/LOC111320952/LOC111320821/LOC111332308/LOC111327252/LOC111320822/LOC111340891/LOC111335819/LOC111322288/LOC111328749/LOC111332789/LOC111325671/LOC111343161/LOC111327625/LOC111320842/LOC111322161/LOC111345144/LOC111321759/LOC111324983/LOC111321489/LOC111338418/LOC111320751/LOC111327334/LOC111325560/LOC111343966/LOC111336425/LOC111326819/LOC111321178/LOC111323636/LOC111328120/LOC111332138/LOC111333695/LOC111325220/LOC111344752/LOC111326942/LOC111328207/LOC111337168/LOC111324368/LOC111321502/LOC111329016/LOC111343646/LOC111324943/LOC111324400/LOC111340622/LOC111334472,54
GO:0031012,extracellular matrix,35/214,169/8488,0.20710059171597633,8.214344964884145,15.23459539444874,8.064110180908552e-23,1.113653615983471e-19,9.277970976561104e-20,LOC111320817/LOC111336303/LOC111320871/LOC111323911/LOC111334934/LOC111333735/LOC111320781/LOC111324935/LOC111320821/LOC111332308/LOC111320822/LOC111321843/LOC111340891/LOC111324993/LOC111335693/LOC111327625/LOC111320842/LOC111322161/LOC111345144/LOC111321759/LOC111324983/LOC111321489/LOC111320751/LOC111322311/LOC111327334/LOC111321680/LOC111326819/LOC111331622/LOC111322256/LOC111325220/LOC111324368/LOC111324945/LOC111335667/LOC111324943/LOC111321308,35
GO:0030198,extracellular matrix organization,34/214,179/8488,0.18994413407821228,7.5338589254947,14.208496307400802,6.710592100637359e-21,6.178218460653462e-18,5.147141870874831e-18,LOC111327880/LOC111328024/LOC111320817/LOC111336303/LOC111320871/LOC111334934/LOC111330856/LOC111320781/LOC111324935/LOC111320821/LOC111332308/LOC111327252/LOC111320822/LOC111322288/LOC111324993/LOC111336934/LOC111335693/LOC111327625/LOC111320842/LOC111321759/LOC111324983/LOC111321489/LOC111320751/LOC111321680/LOC111326819/LOC111331622/LOC111326544/LOC111325220/LOC111324368/LOC111324945/LOC111335667/LOC111324943/LOC111321308/LOC111328842,34
GO:0062023,collagen-containing extracellular matrix,21/214,103/8488,0.20388349514563106,8.08674348970148,11.636972868782092,6.744783107312858e-14,4.657272735599528e-11,3.8800252296278706e-11,LOC111320817/LOC111336303/LOC111320871/LOC111340635/LOC111333735/LOC111320781/LOC111320821/LOC111332308/LOC111320822/LOC111321843/LOC111335693/LOC111327625/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111322311/LOC111326819/LOC111322256/LOC111325220/LOC111324368,21
GO:0005201,extracellular matrix structural constituent,14/214,39/8488,0.358974358974359,14.238197939132519,13.325537885816935,2.3722270505440703e-13,1.3104182227205443e-10,1.0917238594714395e-10,LOC111320817/LOC111336303/LOC111320871/LOC111320781/LOC111320821/LOC111332308/LOC111320822/LOC111340891/LOC111320820/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111321680,14
GO:0005604,basement membrane,18/214,80/8488,0.225,8.924299065420561,11.452115753459397,7.416971262170618e-13,3.414279104352541e-10,2.844473540193855e-10,LOC111320817/LOC111336303/LOC111333735/LOC111320781/LOC111320821/LOC111321843/LOC111335693/LOC111327625/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111322311/LOC111326819/LOC111322256/LOC111332138/LOC111325220/LOC111324368,18
GO:0004222,metalloendopeptidase activity,17/214,85/8488,0.2,7.932710280373833,10.330505229186722,2.5031459719387526e-11,9.876698820706906e-9,8.228386608508441e-9,LOC111327880/LOC111323911/LOC111325264/LOC111320816/LOC111333986/LOC111324935/LOC111324993/LOC111336934/LOC111324983/LOC111328588/LOC111342546/LOC111324945/LOC111321502/LOC111335667/LOC111324943/LOC111321308/LOC111322209,17
GO:0005581,collagen trimer,8/214,15/8488,0.5333333333333333,21.153894080996885,12.563545808578844,7.925380957909701e-10,2.7362377757183245e-7,2.279589838682975e-7,LOC111320817/LOC111320871/LOC111320781/LOC111320821/LOC111320822/LOC111320842/LOC111321489/LOC111320751,8
GO:0005788,endoplasmic reticulum lumen,20/214,155/8488,0.12903225806451613,5.117877600241182,8.32079497634064,1.6216629610293581e-9,4.976703442625653e-7,4.1461464711230143e-7,LOC111320817/LOC111320871/LOC111323911/LOC111320781/LOC111320821/LOC111320822/LOC111322288/LOC111328749/LOC111325671/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111327334/LOC111321403/LOC111323636/LOC111326544/LOC111328120/LOC111344752/LOC111328207,20
GO:0048407,platelet-derived growth factor binding,7/214,12/8488,0.5833333333333334,23.137071651090345,12.340749852500275,4.17973218786925e-9,1.1544420302894868e-6,9.617783750191769e-7,LOC111320817/LOC111320871/LOC111320821/LOC111320822/LOC111322288/LOC111320842/LOC111320751,7
GO:0019838,growth factor binding,13/214,79/8488,0.16455696202531644,6.526913521826571,7.936888298844497,7.029027580832432e-8,1.7649249252962887e-5,1.4703784011195883e-5,LOC111320817/LOC111336303/LOC111320871/LOC111320821/LOC111327252/LOC111320822/LOC111322288/LOC111335693/LOC111333478/LOC111320842/LOC111345144/LOC111320751/LOC111326544,13
GO:0042330,taxis,29/214,394/8488,0.07360406091370558,2.9193984534370703,6.274193101605142,1.6881531406651053e-7,3.885565812097517e-5,3.237107689029755e-5,LOC111327880/LOC111328024/LOC111328393/LOC111336303/LOC111332158/LOC111323862/LOC111342023/LOC111322288/LOC111328749/LOC111336934/LOC111335693/LOC111327625/LOC111333478/LOC111333901/LOC111331664/LOC111323127/LOC111323777/LOC111345144/LOC111321759/LOC111326819/LOC111323636/LOC111324532/LOC111325220/LOC111331301/LOC111333767/LOC111334761/LOC111331073/LOC111338912/LOC111340622,29
