"","pl_101","pl_102","pl_104","pl_106","pl_107","pl_111","pl_112","pl_113","pl_118","pl_119"
"LOC111324734",15,12,4,2,8,4,4,11,8,6
"LOC111324810",9,13,3,1,3,7,8,5,1,5
"LOC111324746",61,53,15,4,14,43,22,63,27,27
"LOC111324832",0,0,0,0,0,0,0,0,0,1
"LOC111324831",0,0,0,0,0,0,0,0,0,0
"LOC111324792",11,11,1,1,5,7,0,3,1,4
"LOC111324793",2,0,1,0,0,1,0,1,0,1
"LOC111324801",15,22,8,6,4,10,5,22,7,11
"LOC111324747",0,0,0,0,0,0,0,0,0,0
"LOC111324830",8,11,6,4,2,0,0,6,7,0
"LOC111324821",41,61,16,11,20,28,17,44,12,29
"LOC111324748",26,24,11,4,8,9,10,16,13,13
"LOC111324765",16,15,3,3,5,6,8,9,12,8
"LOC111324766",28,15,11,8,9,7,9,17,15,8
"LOC111324775",1,1,1,0,4,0,2,4,3,2
"LOC111324780",18,9,3,1,4,3,3,9,7,2
"LOC111324812",1,9,1,1,0,1,2,1,1,2
"LOC111324799",63,51,33,25,55,20,40,28,45,46
"LOC111324789",43,40,7,5,7,16,14,18,25,23
"LOC111324749",1,4,1,3,0,1,3,0,2,2
"LOC111324791",4,3,0,1,2,4,3,2,5,2
"LOC111324788",5,0,0,0,0,1,2,3,1,0
"LOC111324790",7,8,3,2,8,6,5,7,4,5
"LOC111324762",8,11,3,1,1,3,3,4,2,2
"LOC111324764",14,20,6,9,8,5,14,15,15,11
"LOC111324739",428,345,142,114,234,191,240,258,249,318
"LOC111324781",0,5,0,0,2,1,0,0,1,0
"LOC111324782",0,3,0,0,0,0,0,1,0,0
"LOC111324774",1,1,1,1,2,0,1,1,1,1
"LOC111324802",12,8,1,0,2,6,0,5,5,7
"LOC111324750",0,0,0,0,0,0,0,0,0,0
"LOC111324751",0,0,0,0,0,0,0,0,0,0
"LOC111324819",8,2,2,1,2,1,2,3,3,2
"LOC111324822",5,5,3,1,2,6,3,6,4,6
"LOC111324829",86,90,37,17,23,80,36,62,28,40
"LOC111324828",8,5,2,3,1,5,3,5,3,10
"LOC111324826",6,12,3,1,3,4,3,8,9,2
"LOC111324753",0,0,0,0,0,0,0,0,0,0
"LOC111324778",12,4,0,0,2,9,2,10,4,3
"LOC111324754",0,0,0,0,0,0,0,0,0,0
"LOC111324785",0,0,0,0,0,0,1,0,0,1
"LOC111324741",0,0,0,0,0,0,0,0,0,0
"LOC111324811",1,2,0,0,0,1,0,0,0,0
"LOC111324755",2,3,1,0,1,0,0,0,2,2
"LOC111324743",26,30,9,2,10,10,35,30,28,28
"LOC111324744",85,69,27,7,31,61,37,69,46,63
"LOC111324756",8,13,3,2,3,6,5,13,6,4
"LOC111324813",59,43,20,10,28,28,29,43,39,42
"LOC111324814",3,2,3,1,1,2,1,3,0,1
"LOC111324815",20,28,6,7,6,16,15,12,12,24
"Trnag-gcc_4",0,0,0,0,0,0,0,0,0,0
"LOC111324825",7,14,3,1,3,4,0,4,1,1
"LOC111324824",31,17,10,9,12,20,18,30,29,42
"LOC111324776",0,1,0,1,0,0,0,0,0,0
"LOC111324803",0,0,0,0,0,0,0,0,0,0
"LOC111324808",6,13,4,3,8,33,4,3,2,9
"LOC111324737",24,12,8,6,7,11,23,20,22,48
"LOC111324795",1,1,2,0,0,1,1,1,1,3
"LOC111324771",0,0,0,0,1,0,0,0,0,0
"LOC111324773",15,17,5,2,5,7,8,5,4,9
"LOC111324777",2,2,1,1,1,3,1,0,1,0
"LOC111324738",2,0,0,0,0,0,1,2,1,0
"LOC111324740",39,65,61,30,47,13,50,29,48,59
"LOC111324770",34,35,8,3,10,17,16,23,26,27
"LOC111324797",6,4,7,4,4,4,0,2,6,1
"LOC111324833",7,5,3,2,3,3,4,2,4,8
"LOC111324834",11,10,1,2,0,2,4,2,7,7
"LOC111324836",2,6,4,1,8,8,5,5,5,5
"LOC111324837",0,0,1,0,1,0,0,0,0,0
"LOC111324760",3,12,1,4,10,5,2,7,6,5
"LOC111324761",20,30,24,16,14,14,31,39,30,28
"LOC111324768",0,0,0,0,0,0,0,0,0,0
"LOC111324769",1,0,0,0,0,0,0,0,1,0
"LOC111324767",4,9,0,1,3,4,3,4,4,6
"LOC111324786",2,2,0,0,1,0,0,1,0,0
"LOC111324757",0,0,0,0,0,0,0,0,0,0
"LOC111324779",12,18,5,0,0,10,4,6,9,4
"LOC111324804",0,1,0,0,0,0,0,0,0,1
"LOC111324809",0,0,0,0,0,0,0,0,0,0
"LOC111324798",0,0,0,0,0,0,0,0,0,0
"LOC111324736",0,0,1,0,0,0,0,0,0,1
"LOC111324818",0,8,0,0,0,4,1,2,1,3
"LOC111324816",0,0,0,0,0,0,0,0,0,0
"LOC111324758",0,0,0,0,0,0,0,0,0,0
"LOC111324787",0,0,1,0,0,0,0,1,0,0
"LOC111324806",1,1,0,0,1,0,0,0,1,0
"LOC111324820",0,0,0,0,0,0,0,0,0,0
"LOC111324759",0,0,0,0,0,0,0,0,0,0
"LOC111324794",0,0,0,0,0,0,0,1,0,0
"LOC111324800",0,0,0,0,0,0,0,0,0,0
"LOC111324858",3,0,1,0,1,0,0,0,4,3
"LOC111324841",7,0,1,0,0,0,1,3,4,3
"LOC111324843",7,8,3,4,3,5,6,7,4,3
"LOC111324860",0,0,0,0,0,0,0,1,0,0
"LOC111324890",0,0,0,0,0,0,0,2,1,0
"LOC111324861",0,0,0,0,0,0,0,0,0,1
"LOC111324883",0,0,0,0,0,0,0,0,0,0
"LOC111324884",0,0,0,0,0,0,0,0,0,0
"LOC111324862",0,0,0,0,0,0,0,0,0,0
"LOC111324863",0,0,0,0,0,0,0,0,0,0
"LOC111324865",0,0,0,0,0,0,0,0,0,0
"LOC111324891",0,0,0,0,0,0,0,0,0,0
"LOC111324867",0,0,0,0,0,0,0,0,0,0
"LOC111324840",0,0,1,0,0,0,0,0,0,0
"LOC111324839",1,2,0,1,0,0,0,0,0,2
"LOC111324850",376,447,121,48,129,133,237,256,202,283
"LOC111324851",68,58,16,7,29,39,25,43,31,33
"LOC111324868",0,0,0,0,0,0,2,0,0,0
"LOC111324869",0,0,0,0,0,0,0,0,0,0
"LOC111324857",0,0,0,0,0,0,0,0,0,0
"LOC111324855",0,0,0,0,0,0,0,0,0,0
"LOC111324871",0,0,0,0,0,0,0,0,0,1
"LOC111324854",0,0,0,0,0,0,1,0,2,0
"LOC111324872",0,0,0,0,0,0,0,0,0,0
"LOC111324889",1,0,0,0,0,0,0,0,0,1
"LOC111324875",1,0,0,0,0,0,0,1,0,0
"LOC111324877",0,0,0,0,0,0,0,0,0,0
"LOC111324888",1,0,3,0,2,0,1,1,0,1
"LOC111324853",13,7,4,9,8,5,4,7,7,5
"LOC111324847",8,6,6,2,6,2,5,3,5,4
"LOC111324848",0,2,0,2,0,0,1,1,0,0
"LOC111324842",7,7,1,14,6,3,3,2,4,2
"LOC111324845",0,0,0,1,0,1,2,2,0,0
"LOC111324846",1,2,0,2,0,1,0,1,0,0
"LOC111324879",0,0,1,0,0,0,1,2,0,0
"LOC111324844",0,0,0,0,0,0,0,0,0,1
"LOC111324852",13,5,3,6,6,9,7,7,10,10
"LOC111324881",8,5,5,2,2,2,4,3,5,6
"LOC111324886",0,0,0,0,1,0,0,0,0,0
"LOC111324885",14,18,10,2,6,8,3,6,12,10
"LOC111324859",8,5,4,4,1,4,5,3,6,6
"LOC111324882",0,0,0,0,0,0,0,0,0,1
"LOC111324974",0,0,0,0,0,0,0,0,0,0
"LOC111324906",2,4,1,3,2,2,3,1,4,5
"LOC111324947",55,38,18,9,32,30,24,35,36,38
"LOC111324948",1,2,0,0,3,0,0,0,0,1
"LOC111324896",20,15,4,6,9,5,12,15,21,22
"LOC111324894",0,0,0,0,1,0,0,0,3,2
"LOC111324897",11,17,6,6,3,7,12,10,7,10
"LOC111324895",10,14,1,1,4,6,6,2,1,6
"LOC111324981",0,0,0,0,1,2,0,3,0,0
"LOC111324957",1820,1546,277,257,489,92,463,671,702,1172
"LOC111324956",12,5,3,3,1,1,7,3,5,5
"LOC111324937",7,9,2,1,4,2,1,2,7,6
"LOC111324939",0,0,0,0,0,0,0,0,1,1
"LOC111324907",0,1,0,0,1,2,1,1,1,1
"LOC111324938",41,39,16,11,11,28,15,26,23,29
"LOC111324963",11,14,6,4,4,8,4,15,10,9
"LOC111324969",0,1,0,0,0,0,0,0,0,0
"LOC111324909",2,3,0,0,0,0,2,2,2,1
"LOC111324949",2,0,0,0,0,0,0,1,0,0
"LOC111324950",14,19,8,5,6,14,11,7,6,3
"LOC111324951",4,1,1,0,0,1,0,0,0,1
"LOC111324893",22,15,6,5,9,14,7,12,8,9
"LOC111324989",25,31,8,7,21,15,19,20,26,14
"LOC111324990",2,0,1,1,0,0,2,0,0,0
"LOC111324970",4,10,3,4,3,4,1,8,11,6
"LOC111324910",0,0,0,0,1,0,0,3,0,0
"LOC111324973",1,2,0,1,0,0,2,2,1,2
"LOC111324971",1,2,2,0,1,2,1,1,2,0
"LOC111324958",3,4,2,0,3,2,2,1,2,3
"LOC111324959",0,0,0,0,0,1,0,0,0,0
"LOC111324955",1,0,0,0,0,0,0,0,0,0
"LOC111324986",67,43,35,31,27,15,28,40,32,20
"LOC111324987",9,23,8,4,2,6,3,10,7,9
"LOC111324988",7,5,2,2,3,4,5,1,2,7
"LOC111324985",14,18,1,2,5,5,6,10,8,8
"LOC111324961",42,37,14,9,8,10,8,15,26,20
"LOC111324960",10,12,5,4,8,4,9,6,5,16
"LOC111324929",74,89,29,27,22,30,40,46,44,35
"LOC111324911",0,0,0,0,0,0,0,0,0,0
"LOC111324928",22,19,5,1,8,5,7,16,9,9
"LOC111324912",5,2,0,2,1,0,0,0,0,1
"LOC111324925",32,33,12,6,13,25,20,22,15,16
"LOC111324924",28,34,5,3,15,13,11,22,15,23
"LOC111324927",2,0,0,0,0,0,1,0,0,0
"LOC111324926",0,0,0,0,1,0,0,0,0,0
"LOC111324964",0,0,0,0,1,0,1,0,0,0
"LOC111324965",1,0,0,0,0,0,0,0,0,0
"LOC111324913",0,0,0,0,0,0,0,0,0,0
"LOC111324914",0,1,0,0,0,0,0,1,0,0
"LOC111324967",0,0,0,0,0,0,0,0,0,0
"LOC111324991",1,0,1,0,0,0,0,0,0,0
"LOC111324899",0,4,2,0,1,1,0,3,0,0
"LOC111324898",2,3,1,3,0,4,1,1,4,0
"LOC111324900",21,25,12,8,7,5,12,17,11,15
"LOC111324901",13,25,4,5,6,10,9,32,15,9
"LOC111324902",29,31,5,9,3,9,18,23,9,18
"LOC111324979",97,103,85,61,64,25,8,39,20,15
"LOC111324980",9,5,2,1,2,4,0,1,6,5
"LOC111324978",20,37,5,7,7,3,11,8,8,18
"LOC111324936",7,3,5,4,4,2,1,11,7,3
"LOC111324935",109,106,100,90,81,34,24,64,37,25
"LOC111324968",0,3,0,0,0,0,0,0,0,0
"LOC111324993",103,110,81,46,57,33,20,50,42,26
"LOC111324983",344,168,253,160,214,122,70,175,73,63
"LOC111324945",12,13,10,8,3,3,1,3,3,0
"LOC111324915",2,3,1,2,2,5,2,3,6,4
"LOC111324940",10,6,7,7,2,5,0,7,2,2
"LOC111324941",1,0,0,1,0,0,0,0,0,1
"LOC111324946",0,0,0,0,0,0,0,0,0,0
"LOC111324943",14,7,7,13,8,4,2,5,3,2
"LOC111324944",13,17,8,5,9,7,9,31,9,25
"LOC111324982",7,8,4,7,3,10,2,11,7,9
"LOC111324916",0,0,0,0,0,0,0,0,0,0
"LOC111324892",20,17,6,4,9,2,7,9,11,14
"LOC111324953",0,0,0,0,0,0,0,0,0,0
"LOC111324954",0,1,0,0,0,0,1,0,0,0
"LOC111324917",0,0,0,0,0,0,0,0,0,0
"LOC111324904",9,3,4,3,2,1,6,3,6,5
"LOC111324903",30,29,5,6,9,14,15,28,19,18
"LOC111324905",17,7,3,0,1,1,1,7,1,1
"LOC111324976",7,11,2,3,1,2,6,4,8,14
"LOC111324975",27,26,24,7,18,16,19,23,25,20
"Trnav-aac_6",0,0,0,0,0,0,0,0,0,0
"LOC111324918",22,10,7,1,5,5,2,7,2,6
"LOC111324933",5,6,1,2,4,2,3,2,1,1
"LOC111324934",32,23,8,8,10,20,6,20,16,9
"LOC111324930",2,1,1,1,6,5,0,1,0,5
"LOC111324932",1,4,0,0,2,2,1,2,0,1
"LOC111324921",3,3,3,1,3,8,2,10,5,3
"LOC111324923",0,0,0,0,0,0,0,0,0,0
"LOC111324922",0,0,0,0,0,0,0,1,0,0
"LOC111325050",1,1,0,0,0,0,0,0,1,1
"LOC111324999",6,15,7,7,2,0,1,5,1,0
"LOC111325002",0,1,1,0,1,0,0,0,0,0
"LOC111325000",0,0,0,0,0,0,0,0,0,0
"LOC111325020",4,1,0,4,1,0,1,1,1,0
"LOC111325068",11,6,4,1,4,3,0,9,5,5
"LOC111325053",17,22,13,4,3,3,9,27,11,10
"LOC111325046",8,4,1,0,4,6,3,4,3,5
"LOC111325047",51,45,21,2,21,16,18,37,17,18
"LOC111325069",51,76,26,13,25,37,43,45,38,46
"LOC111325038",0,0,0,0,0,0,0,0,0,0
"LOC111325039",7,5,6,3,1,0,1,2,0,0
"LOC111325037",31,18,15,6,17,12,25,21,27,12
"LOC111325019",141,133,46,29,36,100,74,119,66,89
"LOC111324995",335,289,115,85,89,155,128,239,154,165
"LOC111325064",0,0,0,0,0,0,0,1,0,0
"LOC111325045",0,0,0,0,1,0,0,0,0,0
"LOC111325033",0,2,0,2,3,0,0,1,1,3
"LOC111325032",0,0,0,0,0,0,0,0,0,0
"LOC111325035",0,0,0,0,0,0,0,0,0,0
"LOC111324996",0,0,0,0,0,0,0,0,0,0
"LOC111325021",12,9,2,1,4,5,2,4,12,3
"Trnat-ggu_9",0,0,0,0,0,0,0,0,0,0
"LOC111324997",2,1,0,0,0,0,0,2,1,0
"LOC111324998",13,21,5,1,3,7,12,16,12,23
"LOC111325052",28,31,6,11,16,9,15,17,12,20
"LOC111325040",2,2,0,0,1,0,2,1,1,5
"LOC111325041",16,14,4,3,1,3,2,11,11,8
"LOC111325060",0,1,0,0,1,0,1,0,0,0
"LOC111325066",1,5,4,6,6,6,8,7,5,8
"LOC111325070",1,1,0,0,0,1,0,1,0,0
"LOC111325058",0,0,0,0,0,0,0,0,0,0
"LOC111325059",0,0,0,0,0,0,0,0,0,0
"LOC111325057",0,0,0,0,0,1,0,0,0,0
"LOC111325065",2,1,0,0,0,0,0,0,0,0
"LOC111325071",2,0,1,0,1,0,0,1,1,1
"LOC111325048",15,13,3,4,2,11,4,8,12,7
"LOC111325022",27,6,12,9,10,5,4,13,16,12
"LOC111325023",17,23,9,11,8,10,7,19,14,27
"LOC111325018",556,685,394,240,293,364,430,507,399,494
"LOC111325036",10,13,3,4,7,0,1,7,2,1
"LOC111325049",53,89,26,26,16,39,24,58,23,49
"LOC111325016",60,57,9,3,23,8,18,27,23,26
"LOC111325014",28,31,9,5,16,14,14,11,17,17
"LOC111325017",8,3,5,1,4,2,3,3,4,7
"LOC111325044",0,0,0,0,0,0,0,0,0,1
"LOC111325043",6,1,1,0,1,1,1,0,2,2
"LOC111325012",16,19,7,8,14,8,10,28,14,20
"LOC111325013",3,1,1,2,4,4,2,3,3,7
"LOC111325056",21,36,9,7,11,13,11,19,8,10
"LOC111325011",31,22,8,4,4,15,14,20,10,12
"LOC111325010",18,16,3,1,6,4,7,15,8,11
"LOC111325054",10,6,2,3,4,2,1,4,3,5
"LOC111325055",0,0,0,0,0,0,0,0,0,0
"LOC111325062",10,9,2,0,2,2,3,7,0,2
"LOC111325024",0,0,0,0,0,0,1,0,0,0
"LOC111325026",0,0,0,0,0,0,0,0,0,0
"LOC111325028",0,1,0,0,0,0,0,0,0,0
"LOC111325003",7,5,1,1,1,0,3,1,3,10
"LOC111325004",1,0,1,1,2,2,4,0,1,2
"LOC111325005",11,4,3,3,1,1,3,2,3,6
"LOC111325006",0,0,0,0,0,0,0,0,0,0
"LOC111325029",1,1,0,0,0,0,0,0,0,1
"LOC111325030",0,0,0,0,0,0,0,0,0,0
"LOC111325031",2,1,1,2,3,0,0,0,2,1
"LOC111325063",9,10,2,1,6,2,7,5,2,9
"LOC111325007",0,0,0,0,0,0,0,0,0,0
"LOC111325091",1,1,0,0,0,0,0,1,0,0
"LOC111325133",3,6,2,0,1,1,5,4,1,3
"LOC111325096",0,0,0,0,0,0,0,0,0,0
"LOC111325139",6,6,0,1,0,0,2,1,2,2
"LOC111325132",0,0,0,0,0,0,0,0,0,0
"LOC111325073",0,0,0,0,0,0,0,0,0,0
"LOC111325102",0,0,0,0,0,0,0,0,0,0
"LOC111325104",0,0,0,0,0,1,0,0,0,0
"LOC111325125",0,0,0,0,1,0,1,0,0,1
"LOC111325105",0,0,0,0,0,0,0,0,0,0
"LOC111325106",3,0,0,0,1,0,0,0,0,0
"LOC111325121",8,6,1,0,2,6,2,10,4,5
"LOC111325127",0,0,0,0,1,0,0,1,0,0
"LOC111325126",5,3,4,3,6,2,0,2,3,5
"LOC111325130",912,1376,348,138,290,375,410,634,510,601
"LOC111325098",75,78,21,22,25,45,30,48,27,42
"LOC111325097",31,36,23,6,12,5,6,22,6,15
"LOC111325129",50,52,19,10,16,21,16,26,13,16
"LOC111325101",18,21,6,7,10,5,11,12,9,17
"LOC111325107",1,1,0,2,3,0,0,2,0,1
"LOC111325084",8,18,1,5,6,4,6,11,7,18
"LOC111325124",0,0,0,0,0,0,1,0,1,0
"LOC111325137",2,4,0,1,1,0,4,1,3,3
"LOC111325093",6,5,1,1,0,4,0,6,6,4
"LOC111325092",19,17,13,3,5,6,8,14,7,9
"LOC111325085",51,31,23,17,45,38,35,67,55,59
"LOC111325131",2,1,1,1,1,0,0,0,0,0
"LOC111325076",31,37,17,4,9,27,20,13,17,40
"LOC111325077",4,4,0,0,0,1,4,2,1,3
"LOC111325141",0,1,0,0,0,0,0,0,0,0
"LOC111325108",69,74,20,17,23,18,38,42,52,48
"LOC111325083",43,55,6,5,6,14,9,24,17,13
"LOC111325122",56,64,29,24,23,41,27,65,34,28
"LOC111325140",14,17,4,5,3,7,8,4,13,10
"LOC111325117",43,44,15,10,16,22,12,47,16,38
"LOC111325100",7,8,0,0,2,0,1,5,3,4
"LOC111325109",0,0,0,0,0,0,0,0,0,0
"LOC111325099",68,67,34,11,21,46,30,57,33,39
"LOC111325095",0,0,0,1,0,0,0,0,0,0
"LOC111325094",463,321,126,59,119,94,129,136,159,188
"LOC111325075",316,391,162,70,142,232,263,332,220,289
"LOC111325120",99,102,46,29,36,68,32,84,44,44
"LOC111325128",24,17,7,4,3,6,10,11,11,13
"LOC111325074",8,17,5,4,3,6,6,8,5,8
"LOC111325118",0,0,0,0,0,0,0,0,0,0
"LOC111325119",8,4,6,1,2,1,2,5,0,7
"LOC111325110",39,33,15,15,16,27,19,29,33,20
"LOC111325136",0,0,0,2,0,0,0,0,0,0
"LOC111325087",0,0,0,0,1,0,0,0,0,0
"LOC111325086",49,53,9,10,11,7,12,22,21,39
"LOC111325090",0,0,0,0,0,0,0,0,0,0
"LOC111325078",9,14,4,2,1,1,4,8,3,5
"LOC111325081",1,0,0,1,1,0,0,0,3,0
"LOC111325080",7,6,0,2,1,1,2,4,4,5
"LOC111325111",3,0,0,0,0,0,0,0,1,1
"LOC111325112",0,0,0,0,0,0,0,0,0,1
"LOC111325113",0,0,0,0,0,0,0,0,0,0
"LOC111325082",1,1,0,1,0,0,0,0,1,3
"LOC111325114",0,0,0,0,0,0,0,0,0,0
"LOC111325115",0,0,0,0,0,0,0,0,0,0
"LOC111325221",4,0,2,0,1,0,1,1,1,0
"LOC111325223",0,0,1,0,0,0,1,0,0,0
"LOC111325215",0,0,0,0,0,0,0,0,0,0
"LOC111325171",0,0,0,0,0,0,0,0,0,0
"LOC111325216",0,0,0,0,0,0,0,0,0,0
"LOC111325213",0,0,0,0,0,0,0,0,0,0
"LOC111325147",0,0,0,0,0,0,0,0,0,0
"LOC111325168",3,1,2,0,1,1,0,3,2,4
"LOC111325166",2,2,1,1,1,0,2,0,0,1
"LOC111325169",0,0,0,0,0,0,0,1,0,0
"LOC111325212",1,1,0,0,0,0,0,1,2,0
"LOC111325172",0,0,0,0,0,0,0,0,0,0
"LOC111325203",4,2,1,0,3,2,6,9,4,3
"LOC111325173",4,5,0,1,5,3,3,1,3,5
"LOC111325200",3,0,0,0,0,0,0,3,2,0
"LOC111325202",0,0,0,0,0,0,1,1,0,1
"LOC111325142",1,8,3,1,0,2,0,1,1,0
"LOC111325146",1,1,1,0,1,0,1,1,0,4
"LOC111325145",9,8,6,2,5,10,5,7,7,10
"LOC111325143",21,31,9,10,11,13,16,21,18,38
"LOC111325174",1371,1292,548,433,685,756,937,992,1268,1233
"LOC111325208",28,45,16,11,12,31,24,29,14,32
"LOC111325176",0,0,0,0,0,0,0,1,0,0
"LOC111325158",14,8,6,4,1,10,7,11,5,6
"LOC111325157",4,12,2,4,1,5,6,10,5,8
"LOC111325159",3,4,2,1,0,0,0,0,0,0
"LOC111325160",12,6,5,1,4,3,2,5,4,4
"LOC111325163",0,1,0,0,4,1,1,3,0,2
"LOC111325162",6,3,1,2,2,0,4,1,1,2
"LOC111325161",8,7,6,2,9,7,4,6,6,16
"LOC111325177",4,1,1,0,0,0,0,2,1,4
"LOC111325205",3,0,2,0,2,0,2,0,2,1
"LOC111325178",5,7,0,3,3,5,1,7,0,3
"LOC111325206",0,1,1,2,3,1,0,2,2,0
"LOC111325190",5,7,1,2,2,3,6,7,3,3
"LOC111325189",9,15,3,3,2,3,2,6,4,6
"LOC111325179",0,0,0,0,0,0,0,0,0,0
"LOC111325207",11,11,1,3,2,12,8,15,3,8
"LOC111325211",0,2,0,0,0,0,0,0,0,0
"LOC111325224",15,6,4,3,2,5,3,5,3,5
"LOC111325180",0,0,0,0,0,0,0,0,0,0
"LOC111325199",23,26,5,4,7,5,5,11,12,19
"LOC111325218",8,8,5,2,3,4,2,7,1,2
"LOC111325217",0,0,0,0,0,0,0,0,0,0
"LOC111325181",1,0,0,1,0,0,1,0,2,1
"LOC111325222",1,3,1,0,0,3,0,2,0,1
"LOC111325196",1,1,0,0,1,3,0,2,1,0
"LOC111325197",1,1,0,1,1,1,0,0,1,2
"LOC111325191",46,44,34,19,30,26,19,16,38,37
"LOC111325182",103,78,56,33,93,78,119,146,125,109
"LOC111325204",5,4,5,0,2,2,1,4,5,1
"LOC111325214",16,24,6,1,6,16,6,10,9,9
"LOC111325220",52,28,21,22,29,25,6,10,9,9
"LOC111325198",34,39,8,1,4,12,36,17,28,41
"LOC111325149",2,1,0,0,0,0,1,1,0,2
"LOC111325152",17,41,9,3,6,9,12,16,8,19
"LOC111325150",226,222,70,25,38,121,87,104,84,96
"LOC111325151",7,9,6,3,0,0,2,5,5,1
"LOC111325154",7,2,3,1,1,2,0,5,3,2
"LOC111325183",0,0,0,0,0,0,0,0,0,0
"LOC111325155",0,0,0,0,0,0,0,1,0,0
"LOC111325156",0,0,3,0,1,1,0,0,1,2
"LOC111325209",20,21,13,8,11,12,8,14,16,19
"LOC111325184",0,0,0,0,1,0,0,0,0,0
"LOC111325225",0,0,0,0,0,0,0,0,0,0
"LOC111325185",4,4,2,1,0,1,3,1,1,2
"LOC111325229",23,9,7,4,9,4,12,11,5,3
"LOC111325226",1,3,0,1,1,3,0,0,2,1
"LOC111325227",1,0,0,0,1,0,1,1,0,2
"LOC111325186",23,16,7,8,9,16,27,45,41,35
"LOC111325187",3,1,0,0,0,1,0,1,0,1
"LOC111325192",5,7,4,0,2,3,4,1,2,4
"LOC111325165",60,71,18,13,24,25,26,34,30,40
"LOC111325164",48,29,5,2,16,45,19,21,9,23
"LOC111325148",3,2,0,0,0,2,0,0,1,1
"LOC111325188",0,0,0,0,0,0,0,0,0,0
"LOC111325193",66,100,31,15,27,26,30,51,29,54
"LOC111325195",5,8,3,2,2,2,4,7,9,6
"LOC111325289",5,2,1,0,0,1,0,1,1,2
"LOC111325288",0,0,0,0,0,0,0,0,0,0
"LOC111325245",0,0,0,0,0,0,0,0,0,0
"LOC111325305",11,5,1,1,1,5,4,6,1,3
"LOC111325306",0,0,0,0,0,0,0,0,0,1
"LOC111325246",42,30,2,3,3,2,11,15,4,13
"LOC111325247",0,0,0,0,0,0,0,0,0,0
"LOC111325293",8,6,5,1,5,1,0,0,0,1
"LOC111325287",1,0,0,0,0,0,0,0,0,0
"LOC111325242",2,3,0,1,0,0,0,5,1,0
"LOC111325243",0,0,0,0,0,0,0,0,0,0
"LOC111325285",3,3,2,0,0,0,1,0,1,0
"LOC111325283",0,0,0,0,0,0,0,1,0,1
"LOC111325273",0,2,0,3,0,0,1,1,0,1
"LOC111325272",0,1,1,1,2,0,0,0,0,0
"LOC111325294",55,57,6,13,38,41,38,70,46,45
"LOC111325279",76,95,38,14,35,61,61,85,73,77
"LOC111325302",28,21,6,2,5,9,14,10,18,23
"LOC111325308",0,2,0,0,1,1,0,0,0,0
"LOC111325309",3,4,1,0,1,3,2,2,3,2
"LOC111325304",0,0,0,0,0,0,0,0,0,0
"LOC111325248",0,0,0,0,0,0,0,0,0,0
"LOC111325274",0,0,1,0,0,0,0,0,0,0
"LOC111325282",2,1,0,0,1,0,1,1,1,3
"LOC111325280",19,4,1,0,1,2,3,1,2,1
"LOC111325281",4,5,0,0,3,5,0,0,0,1
"LOC111325230",0,0,0,0,0,0,0,0,0,0
"LOC111325286",5,3,1,2,5,4,0,0,0,3
"LOC111325290",2,2,1,1,2,1,3,4,2,1
"LOC111325257",0,0,1,0,1,0,0,0,0,0
"LOC111325277",22,16,10,2,4,8,8,17,15,14
"LOC111325263",37,79,19,7,16,29,35,37,23,30
"LOC111325297",4,4,1,1,2,0,2,2,7,0
"LOC111325299",8,9,5,0,3,3,5,6,2,2
"LOC111325300",0,1,0,0,1,0,0,4,1,0
"Trnat-ugu_11",0,0,0,0,0,0,0,0,0,0
"LOC111325301",0,0,0,0,0,0,0,1,0,0
"LOC111325296",11,8,1,3,6,2,5,15,4,8
"LOC111325275",1,0,0,0,0,0,1,0,0,1
"LOC111325256",2,1,0,0,0,0,0,0,0,0
"LOC111325253",0,1,0,0,0,0,0,0,0,0
"LOC111325255",0,0,1,0,0,0,1,0,0,0
"LOC111325252",0,1,0,0,0,0,0,0,0,0
"LOC111325276",3,1,2,0,0,1,1,1,1,2
"LOC111325261",9,2,2,3,6,4,4,3,2,2
"LOC111325260",2,1,2,2,3,0,0,2,0,3
"LOC111325264",33,37,33,43,16,5,4,8,7,9
"LOC111325265",3,4,5,3,0,1,3,1,1,1
"LOC111325267",6,11,0,1,2,3,2,5,1,7
"LOC111325268",52,57,20,15,18,48,29,43,25,42
"LOC111325270",16,21,9,9,9,8,7,10,8,19
"LOC111325250",1,8,1,0,3,0,3,4,1,7
"LOC111325232",0,0,0,0,1,0,0,0,0,0
"LOC111325231",0,0,0,0,1,0,0,2,1,0
"Trnar-ccg_6",0,0,0,0,0,0,0,0,0,0
"LOC111325292",0,0,1,0,0,0,0,0,0,0
"LOC111325271",0,0,0,0,0,0,0,1,0,0
"LOC111325295",0,0,0,0,0,0,1,1,2,1
"LOC111325278",0,0,0,0,0,0,0,0,0,0
"LOC111325251",3,1,1,0,0,1,0,1,0,1
"LOC111325258",2,3,1,1,2,0,0,0,1,2
"LOC111325233",8,6,7,1,1,7,0,1,4,2
"LOC111325234",1,4,1,0,0,0,0,1,0,1
"LOC111325235",28,22,3,6,5,5,9,16,8,6
"LOC111325237",0,1,1,0,1,0,1,0,0,0
"LOC111325240",5,1,2,2,4,0,3,2,3,1
"LOC111325241",41,33,11,5,12,17,17,21,9,34
"LOC111325236",78,78,24,12,35,29,36,48,47,56
"LOC111325239",0,0,0,0,0,0,1,0,0,0
