"","pl_101","pl_102","pl_104","pl_106","pl_107","pl_111","pl_112","pl_113","pl_118","pl_119"
"LOC111321941",0,0,0,0,0,0,1,0,0,0
"LOC111322033",1,4,0,0,0,0,0,1,1,2
"LOC111322123",13,26,6,7,6,8,12,20,7,12
"LOC111339740",1,1,0,0,0,1,0,0,0,1
"LOC111345823",0,0,0,0,0,0,0,0,0,0
"LOC111318820",0,0,1,0,0,0,0,0,0,0
"LOC111344686",29,28,7,3,13,9,18,24,23,27
"LOC111344901",12,6,1,2,5,1,3,4,3,7
"LOC111322122",1,1,0,0,0,0,0,2,2,4
"LOC111325715",0,0,0,0,0,0,0,1,0,0
"LOC111339559",0,0,0,0,0,0,0,0,0,0
"LOC111342988",1,2,0,1,1,0,0,0,0,0
"LOC111329881",6,6,2,1,2,1,3,8,1,4
"LOC111330132",7,5,0,0,1,3,3,3,3,6
"LOC111330037",6,13,8,1,1,9,1,2,2,0
"LOC111346166",0,1,0,0,0,0,0,0,0,1
"LOC111334492",2,2,1,1,1,0,0,3,1,2
"LOC111335611",9,10,2,0,2,10,3,15,4,6
"LOC111346460",1,0,0,0,0,0,0,0,0,0
"LOC111335556",43,35,11,8,15,22,9,20,8,27
"LOC111334573",2,1,0,0,0,0,0,0,0,0
"LOC111345476",55,56,17,6,10,19,33,32,39,43
"LOC111345641",226,234,87,40,55,191,123,244,123,218
"LOC111345733",21,18,11,7,4,11,5,24,17,18
"LOC111320503",20,21,8,3,5,9,11,11,10,9
"LOC111329624",0,1,0,0,0,0,1,2,0,1
"LOC111334661",6,5,4,4,9,5,1,1,2,0
"LOC111320631",0,1,0,0,0,0,1,0,0,0
"LOC111334758",0,0,0,0,0,1,0,0,0,0
"LOC111345318",0,0,0,0,0,0,0,0,0,0
"LOC111344490",78,76,44,44,57,57,56,138,79,86
"LOC111347377",3,4,3,1,2,2,8,2,3,4
"LOC111343541",71,80,30,14,31,59,28,46,26,40
"LOC111333471",1,2,1,0,1,1,0,3,2,2
"LOC111335283",2,2,4,3,2,5,2,1,0,0
"LOC111337997",1803,1760,384,183,440,748,715,1319,806,1473
"LOC111334377",336,275,95,23,66,100,164,229,173,323
"LOC111334853",0,1,0,0,1,0,0,0,1,0
"LOC111331694",4,2,0,0,1,0,0,0,0,1
"LOC111332591",5,5,4,0,2,3,4,3,3,5
"LOC111327549",0,5,2,0,3,0,4,0,3,0
"LOC111328426",3,0,2,1,0,1,0,1,1,5
"LOC111340823",45,51,30,29,32,22,19,34,33,33
"LOC111340922",21,16,16,9,11,12,7,21,21,12
"LOC111338980",369,305,216,150,172,181,100,171,138,142
"LOC111338889",3,1,1,1,1,0,0,2,0,0
"LOC111337335",0,0,1,0,0,1,0,1,1,0
"LOC111326784",4,5,1,2,1,3,1,4,5,1
"LOC111326445",5,13,5,4,2,5,3,7,3,7
"LOC111326540",13,13,5,0,4,4,5,11,0,5
"LOC111326687",8,7,3,5,4,1,3,0,5,14
"LOC111334955",0,0,0,0,0,0,0,0,0,0
"LOC111331384",0,5,1,1,4,3,0,0,2,6
"LOC111331300",3,3,1,0,2,4,1,0,1,8
"LOC111321543",18,21,9,2,2,11,3,11,6,11
"LOC111321400",39,46,23,26,28,21,24,27,24,23
"LOC111325088",21,28,13,14,18,18,12,37,26,26
"LOC111325170",5,8,3,1,2,3,7,8,3,5
"LOC111335044",19,23,8,2,12,8,4,14,10,19
"LOC111333701",9,11,1,2,3,1,3,3,10,4
"LOC111335472",0,0,0,0,0,0,0,0,0,0
"LOC111336516",13,11,10,6,8,4,4,14,5,10
"LOC111331755",65,51,23,22,26,32,35,51,32,36
"LOC111335695",9,2,2,4,3,1,3,9,4,5
"LOC111322526",17,7,7,5,5,4,1,1,0,1
"LOC111322987",61,56,43,25,24,11,14,32,15,22
"LOC111322434",0,1,0,0,0,0,1,2,0,3
"LOC111322790",0,0,0,0,0,0,0,0,0,0
"LOC111335791",11,13,4,2,4,4,7,8,10,13
"LOC111336163",6,10,3,0,6,1,5,5,6,5
"LOC111336247",5,1,3,1,2,4,7,5,1,4
"LOC111322345",2,5,0,1,1,3,1,1,5,0
"LOC111323325",75,130,28,11,13,27,31,49,34,56
"LOC111323420",10,20,1,2,1,2,3,5,6,9
"LOC111336976",94,88,29,16,16,49,42,75,35,59
"LOC111320668",24,16,5,5,4,7,2,5,11,4
"LOC111329162",65,48,29,25,28,23,40,32,39,43
"LOC111329064",50,51,12,7,19,16,14,31,13,34
"LOC111328988",36,29,6,12,9,14,15,33,20,20
"LOC111336333",0,1,0,1,0,0,0,0,1,1
"LOC111342203",39,53,13,6,16,30,21,43,32,28
"LOC111342296",1,0,0,0,0,0,0,0,0,0
"LOC111319446",130,113,19,6,19,50,10,94,39,7
"LOC111343294",537,505,262,142,230,259,206,405,229,278
"LOC111343079",315,247,114,52,153,148,196,291,267,247
"LOC111343171",4,2,2,0,1,1,1,1,6,5
"LOC111336606",12,17,5,3,5,6,7,14,12,11
"LOC111325534",4,8,7,4,4,4,6,14,2,2
"LOC111326949",19,21,8,4,14,9,15,26,31,24
"LOC111330350",46,54,21,11,19,39,23,42,25,40
"LOC111330188",4,3,3,1,2,2,2,3,1,2
"LOC111330445",10,22,3,7,12,8,17,17,13,17
"LOC111330599",5,10,4,1,7,3,6,12,3,6
"LOC111347175",0,0,0,0,1,0,0,0,0,0
"LOC111336700",1,0,1,0,0,0,0,0,0,1
"LOC111340042",2,1,0,4,0,0,0,0,2,0
"LOC111340274",222,262,141,82,87,130,119,188,111,120
"LOC111340192",3,0,1,2,0,1,1,2,1,2
"LOC111331212",680,801,420,224,363,410,509,505,473,625
"LOC111336792",14,8,1,7,2,3,5,5,9,7
"LOC111330985",31,16,6,3,8,11,6,12,16,12
"LOC111331125",91,102,50,31,61,62,46,61,56,62
"LOC111324732",52,32,24,13,17,29,31,47,40,48
