"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","enriched_in"
"Wax biosynthesis",0.0014579882384298,0.010107626327092,0.45505986738723,0.424909259002507,1.65666883873576,112,"LOC111338999;LOC111346087;LOC111340822;LOC111330775;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889","HF"
"Acyl chain remodeling of DAG and TAG",0.00164849542340611,0.0108931727197955,0.45505986738723,0.460737483607043,1.69756959825742,79,"LOC111340872;LOC111340194;LOC111335819;LOC111330775;LOC111325998;LOC111339082;LOC111321012;LOC111321971;LOC111327285;LOC111323811;LOC111339547;LOC111327165;LOC111337639;LOC111327696;LOC111321616;LOC111327447;LOC111334397;LOC111325999;LOC111332472;LOC111342271;LOC111334068;LOC111326936;LOC111335762;LOC111325151","HF"
"TNFs bind their physiological receptors",0.00623756352446965,0.0233247072399865,0.407017918923954,0.388473462787109,1.52143824858352,114,"LOC111329099;LOC111327333;LOC111330856;LOC111331324;LOC111336934;LOC111337453;LOC111327334;LOC111321680;LOC111324497;LOC111337462;LOC111340596;LOC111327524;LOC111332422;LOC111343450;LOC111323038;LOC111332831;LOC111340679;LOC111322819;LOC111327225;LOC111333143;LOC111327019;LOC111326556;LOC111326211;LOC111338031;LOC111345454;LOC111328923;LOC111344257;LOC111338194;LOC111334072;LOC111336388;LOC111338993;LOC111346803;LOC111336048;LOC111336281;LOC111331951;LOC111333158;LOC111336161;LOC111336190","HF"
"Transport of fatty acids",0.0067863059167614,0.0248974180056775,0.407017918923954,0.594309613662236,1.67694917186143,21,"LOC111338999;LOC111327303;LOC111331664;LOC111346320;LOC111327254;LOC111328832;LOC111340554;LOC111329261;LOC111333941","HF"
"Biosynthesis of DHA-derived SPMs",6.6235055097181e-06,0.000157401057911018,0.610526878385931,-0.595860942968977,-2.16878855151601,42,"LOC111333170;LOC111326885;LOC111322400;LOC111340608;LOC111337892;LOC111338704;LOC111326886;LOC111336575;LOC111337164;LOC111336571;LOC111324646;LOC111341264;LOC111336593;LOC111329285;LOC111323374;LOC111330488;LOC111336551;LOC111344023;LOC111326888;LOC111321123;LOC111338695;LOC111321625;LOC111331372","NF"
"Phase 3 - rapid repolarisation",0.000109408146085279,0.00129816973335802,0.538434096309916,-0.391963157913796,-1.75247200538142,135,"LOC111323527;LOC111333248;LOC111324824;LOC111323925;LOC111334449;LOC111326801;LOC111338444;LOC111341574;LOC111326463;LOC111325892;LOC111330919;LOC111326949;LOC111334199;LOC111337142;LOC111327078;LOC111325867;LOC111332340;LOC111327256;LOC111324222;LOC111324102;LOC111323367;LOC111333586;LOC111321890;LOC111326988;LOC111347269;LOC111329323;LOC111326918;LOC111347469;LOC111336338;LOC111336361;LOC111326735;LOC111341302;LOC111329417;LOC111324976;LOC111324465;LOC111329517;LOC111328840;LOC111319692;LOC111336503;LOC111326965;LOC111326783;LOC111324221;LOC111344242;LOC111340301;LOC111338487;LOC111325084;LOC111321901;LOC111336207;LOC111338281;LOC111336764;LOC111319649;LOC111330963;LOC111335815;LOC111340880;LOC111336531;LOC111326797;LOC111325907;LOC111338803;LOC111331319;LOC111338105;LOC111321163;LOC111336758;LOC111347008","NF"
"MECP2 regulates transcription factors",0.000119611637950429,0.0013924600116116,0.538434096309916,-0.37468919102043,-1.70486416246679,150,"LOC111336145;LOC111328662;LOC111331383;LOC111342267;LOC111328635;LOC111323438;LOC111339760;LOC111326057;LOC111339385;LOC111332656;LOC111335363;LOC111330675;LOC111336683;LOC111330254;LOC111338855;LOC111326376;LOC111322873;LOC111325428;LOC111326710;LOC111341013;LOC111340179;LOC111331764;LOC111321496;LOC111337166;LOC111344490;LOC111330676;LOC111331051;LOC111346265;LOC111333026;LOC111323435;LOC111335370;LOC111337399;LOC111328410;LOC111342268;LOC111341996;LOC111320640;LOC111334574;LOC111343293;LOC111336340;LOC111321339;LOC111326470;LOC111324669;LOC111325170;LOC111324729;LOC111343633","NF"
"Biosynthesis of E-series 18(R)-resolvins",0.000201458879566254,0.00210678184224371,0.518848077743792,-0.313499728988809,-1.53962431000582,270,"LOC111326885;LOC111340608;LOC111337892;LOC111329710;LOC111334333;LOC111342437;LOC111338704;LOC111322800;LOC111326886;LOC111323409;LOC111322615;LOC111343376;LOC111337164;LOC111340144;LOC111331941;LOC111340670;LOC111341264;LOC111334567;LOC111322616;LOC111329285;LOC111323374;LOC111330488;LOC111336551;LOC111334357;LOC111326112;LOC111330645;LOC111337714;LOC111344023;LOC111324998;LOC111342438;LOC111326888;LOC111321123;LOC111344383;LOC111323497;LOC111332560;LOC111336769;LOC111344177;LOC111341974;LOC111338733;LOC111338695;LOC111343278;LOC111335226;LOC111321625;LOC111331372;LOC111335938;LOC111333928;LOC111339704;LOC111322789;LOC111329469;LOC111327439;LOC111329397;LOC111340386;LOC111340931;LOC111341342;LOC111339422;LOC111323586;LOC111323284;LOC111334358;LOC111325647;LOC111328881;LOC111341698;LOC111333249;LOC111337596;LOC111334657;LOC111334040;LOC111327383;LOC111327301;LOC111319759;LOC111333337;LOC111337171;LOC111339309;LOC111337517;LOC111336659;LOC111334697;LOC111345073;LOC111328174;LOC111327288;LOC111335371;LOC111325511;LOC111326897;LOC111343488;LOC111332381;LOC111332104;LOC111327290;LOC111333474;LOC111325951;LOC111341315","NF"
"Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components",0.000679498268485406,0.00604910134818568,0.477270815362862,-0.312536781428913,-1.47562364356528,201,"LOC111339304;LOC111330090;LOC111327412;LOC111332621;LOC111320769;LOC111336558;LOC111331563;LOC111323186;LOC111339606;LOC111325182;LOC111329708;LOC111345392;LOC111329363;LOC111320939;LOC111340260;LOC111321721;LOC111341708;LOC111336420;LOC111338042;LOC111323742;LOC111337757;LOC111333319;LOC111322045;LOC111343770;LOC111336239;LOC111347469;LOC111341451;LOC111340626;LOC111329286;LOC111322543;LOC111322355;LOC111324351;LOC111321222;LOC111346330;LOC111320833;LOC111323882;LOC111326061;LOC111335161;LOC111319041;LOC111342126;LOC111327795;LOC111324011;LOC111337966;LOC111345887;LOC111321655;LOC111325195;LOC111334629","NF"
"RNA Polymerase III Transcription Termination",0.000686283783424632,0.00604910134818568,0.477270815362862,-0.299834343259811,-1.47628985942989,265,"LOC111328602;LOC111335313;LOC111329325;LOC111332020;LOC111342267;LOC111325476;LOC111329204;LOC111331456;LOC111326057;LOC111336972;LOC111336068;LOC111335363;LOC111330675;LOC111336683;LOC111328502;LOC111330363;LOC111326376;LOC111321617;LOC111322873;LOC111323107;LOC111321475;LOC111335035;LOC111325428;LOC111334539;LOC111326710;LOC111329608;LOC111341013;LOC111340179;LOC111331764;LOC111339681;LOC111321496;LOC111326177;LOC111332017;LOC111324226;LOC111337166;LOC111330676;LOC111342203;LOC111346265;LOC111323435;LOC111335370;LOC111337399;LOC111328410;LOC111329469;LOC111337539;LOC111342268;LOC111335657;LOC111341996;LOC111320640;LOC111333250;LOC111334574;LOC111340644;LOC111343293;LOC111336340;LOC111334120;LOC111325956;LOC111321339;LOC111337596;LOC111326470;LOC111325170;LOC111324729;LOC111320776;LOC111323331;LOC111343633;LOC111328222;LOC111333228;LOC111335854;LOC111320700;LOC111335621;LOC111336316;LOC111341478;LOC111333231;LOC111324135;LOC111325066;LOC111341681;LOC111340858;LOC111321386;LOC111332437;LOC111323663;LOC111331529;LOC111319776;LOC111336905;LOC111335492;LOC111337077;LOC111334475;LOC111323387;LOC111321820;LOC111339907;LOC111333991;LOC111332913;LOC111325048;LOC111341033;LOC111324107","NF"
"Formation of tubulin folding intermediates by CCT/TriC",0.00130957842248068,0.00961916531750691,0.45505986738723,-0.637456004303939,-1.8982980152957,20,"LOC111321004;LOC111339391;LOC111321007;LOC111336950;LOC111333014;LOC111321005;LOC111342657;LOC111329577;LOC111336951;LOC111326560;LOC111323517;LOC111321969","NF"
"Defective DNA double strand break response due to BARD1 loss of function",0.00777785102186505,0.0274224804599471,0.407017918923954,-0.286649562750041,-1.35842525532181,206,"LOC111323092;LOC111335179;LOC111335234;LOC111331369;LOC111320630;LOC111326104;LOC111344357;LOC111326319;LOC111329625;LOC111326801;LOC111332847;LOC111340670;LOC111325892;LOC111332611;LOC111330776;LOC111329285;LOC111325867;LOC111333344;LOC111336031;LOC111324222;LOC111332817;LOC111336582;LOC111335520;LOC111338322;LOC111339104;LOC111326233;LOC111335226;LOC111334265;LOC111333353;LOC111337720;LOC111335242;LOC111344259;LOC111324389;LOC111335368;LOC111332142;LOC111323307;LOC111330015;LOC111344690;LOC111331872;LOC111323586;LOC111323305;LOC111333317;LOC111334817;LOC111333990;LOC111336319;LOC111323986;LOC111326110;LOC111326965;LOC111335617;LOC111335477;LOC111326783;LOC111332474;LOC111325739;LOC111329928;LOC111340301;LOC111321113","NF"
"NFE2L2 regulating ER-stress associated genes",0.00903133103402008,0.0313052317302831,0.380730400722792,-0.402362487513713,-1.54480470945926,57,"LOC111328662;LOC111320827;LOC111331383;LOC111328635;LOC111323438;LOC111339760;LOC111339385;LOC111330254;LOC111333470;LOC111343369;LOC111331051;LOC111333026;LOC111330426;LOC111337218;LOC111333771;LOC111330492;LOC111321388;LOC111324256;LOC111325564","NF"
"Regulation of HMOX1 expression and activity",0.00987070289990576,0.0335756838112318,0.380730400722792,-0.373548874230441,-1.53882597093037,81,"LOC111328662;LOC111320827;LOC111331383;LOC111328635;LOC111323438;LOC111339760;LOC111339385;LOC111330254;LOC111327078;LOC111327256;LOC111324102;LOC111321890;LOC111333470;LOC111326988;LOC111347469;LOC111331051;LOC111333026;LOC111336338;LOC111336361;LOC111326735;LOC111341302","NF"
