Sample No,morph,no of polyps,temp,pH,light,Conc (Cells/mL),Conc (Cell/polyp),Average,Count1,Count2,Count3,Count4,Unnamed: 13,Target_Condition,Mean_Size_mm2,Size_SD
53,NF,2.0,23,8.2,10m,87500,43750,8.75,10,9,3,13,,Ambient (Control),2.416,1.318
54,NF,3.0,23,8.2,10m,215000,71666.66667,21.5,26,23,17,20,,Ambient (Control),2.416,1.318
55,HF,2.0,23,8.2,10m,112500,56250,11.25,6,10,13,16,,Ambient (Control),2.665,1.634
56,NF,2.0,27,8.2,10m,175000,87500,17.5,16,18,20,16,,27,3.099,1.747
58,HF,2.0,31,8.2,10m,70000,35000,7.0,3,5,10,10,,Ambient (Control),2.665,1.634
59,NF,3.0,23,8.2,10m,137500,45833.33333,13.75,18,11,13,13,,Ambient (Control),2.416,1.318
60,PF,3.0,23,8.2,10m,122500,40833.33333,12.25,12,14,14,9,,Ambient (Control),2.495,1.909
61,PF,3.0,23,8.2,10m,127500,42500,12.75,13,12,13,13,,Ambient (Control),2.495,1.909
62,PF,1.0,23,8.2,10m,60000,60000,6.0,5,6,7,6,,Ambient (Control),2.495,1.909
63,HF,1.0,23,8.2,10m,62500,62500,6.25,7,8,5,5,,Ambient (Control),2.665,1.634
64,NF,1.0,31,8.2,10m,65000,65000,6.5,3,8,5,10,,Ambient (Control),2.416,1.318
65,HF,3.0,23,8.2,50m,80000,26666.66667,8.0,2,8,7,15,,50m,3.921,2.615
66,HF,2.0,23,8.2,50m,60000,30000,6.0,8,5,9,2,,50m,3.921,2.615
67,PF,1.0,23,8.2,50m,20000,20000,2.0,2,1,1,4,,50m,3.395,0.974
68,NF,2.0,23,8.2,50m,78000,39000,7.8,8,9,7,8,7.0,50m,3.865,2.181
69,PF,2.0,23,8.2,50m,100000,50000,10.0,8,6,12,14,,50m,3.395,0.974
70,PF,3.0,23,8.2,50m,105000,35000,10.5,13,7,12,10,,50m,3.395,0.974
71,HF,1.0,23,8.2,Dark,15000,15000,1.5,2,1,2,1,,Dark,3.795,2.181
72,HF,1.0,23,8.2,50m,17500,17500,1.75,1,3,1,2,,50m,3.921,2.615
73,NF,1.0,23,8.2,50m,45000,45000,4.5,5,3,4,6,,50m,3.865,2.181
74,PF,3.0,23,8.2,Dark,50000,16666.66667,5.0,7,3,6,4,,Dark,3.321,1.87
75,PF,1.0,23,8.2,Dark,17500,17500,1.75,1,4,1,1,,Dark,3.321,1.87
76,NF,4.0,23,8.2,Dark,112500,28125,11.25,14,12,12,7,,Dark,2.722,1.51
77,PF,2.0,23,8.2,10m,65000,32500,6.5,4,3,11,8,,Ambient (Control),2.495,1.909
78,PF,2.0,23,8.2,10m,57500,28750,5.75,5,2,9,7,,Ambient (Control),2.495,1.909
79,PF,3.0,23,8.2,10m,105000,35000,10.5,12,13,7,10,,Ambient (Control),2.495,1.909
80,NF,1.0,23,8.2,10m,15000,15000,1.5,1,1,2,2,,Ambient (Control),2.416,1.318
81,PF,3.0,23,8.2,10m,32500,10833.33333,3.25,4,5,2,2,,Ambient (Control),2.495,1.909
82,PF,3.0,23,8.2,10m,65000,21666.66667,6.5,8,4,5,9,,Ambient (Control),2.495,1.909
83,NF,2.0,32,8.2,10m,47500,23750,4.75,6,1,9,3,,32,3.255,1.262
84,NF,3.0,27,8.2,10m,70000,23333.33333,7.0,7,6,10,5,,27,3.099,1.747
85,HF,1.0,31,8.2,10m,42500,42500,4.25,4,3,4,6,,Ambient (Control),2.665,1.634
86,HF,3.0,27,8.2,10m,230000,76666.66667,23.0,23,30,18,18,26.0,27,3.163,1.911
87,HF,1.0,27,8.2,10m,96000,96000,9.6,6,8,4,8,22.0,27,3.163,1.911
88,PF,3.0,32,8.2,10m,190000,63333.33333,19.0,31,18,18,9,,32,3.162,1.517
89,HF,1.0,23,8.2,10m,32500,32500,3.25,6,5,1,1,,Ambient (Control),2.665,1.634
90,PF,3.0,23,8.2,10m,297500,99166.66667,29.75,34,27,18,40,,Ambient (Control),2.495,1.909
91,PF,2.0,23,8.2,10m,80000,40000,8.0,8,11,7,6,,Ambient (Control),2.495,1.909
92,HF,1.0,32,8.2,10m,45000,45000,4.5,7,3,3,5,,32,2.745,1.189
