no,area µm²,perimeter µm,area_mm²,perim_mm,Volume mm³,morph,file name,,if error to check for bad imaging,
50,1169545.801,5165.212,1.1695,5.1652,0.4833,HF,01-04-2025-1600_Stemi 305_0.8x_HF,,0.4833,
51,820693.689,4192.853,0.8207,4.1929,0.2971,HF,01-04-2025-1559_Stemi 305_0.8x_HF-02,,0.2971,
52,955626.623,4124.253,0.9556,4.1243,0.4308,HF,01-04-2025-1559_Stemi 305_0.8x_HF,,0.4308,
53,1027588.315,4542.511,1.0276,4.5425,0.4366,HF,01-04-2025-1559_Stemi 305_0.8x_HF,,0.4366,
54,1151679.242,5357.355,1.1517,5.3574,0.4444,HF,01-04-2025-1558_Stemi 305_0.8x_HF,,0.4444,
55,812740.935,4340.614,0.8127,4.3406,0.2768,HF,01-04-2025-1558_Stemi 305_0.8x_HF,,0.2768,
56,1138766.054,5052.899,1.1388,5.0529,0.4700,HF,01-04-2025-1557_Stemi 305_0.8x_HF,,0.4700,
57,972939.529,4534.643,0.9729,4.5346,0.3872,HF,01-04-2025-1557_Stemi 305_0.8x_HF,,0.3872,
58,815956.498,4475.571,0.8160,4.4756,0.2677,HF,01-04-2025-1556_Stemi 305_0.8x_HF-02,,0.2677,
59,852984.782,4453.655,0.8530,4.4537,0.2970,HF,01-04-2025-1556_Stemi 305_0.8x_HF-02,,0.2970,
60,869246.343,4552.469,0.8692,4.5525,0.3003,HF,01-04-2025-1556_Stemi 305_0.8x_HF,,0.3003,
61,1298612.64,5987.564,1.2986,5.9876,0.4975,HF,01-04-2025-1553_Stemi 305_0.8x_HF,good for photo,0.4975,
62,1041762.805,4692.858,1.0418,4.6929,0.4290,HF,01-04-2025-1553_Stemi 305_0.8x_HF,,0.4290,
63,1188859.484,5632.579,1.1889,5.6326,0.4455,HF,01-04-2025-1552_Stemi 305_0.8x_HF-02,good for photo,0.4455,
64,918968.191,4690.092,0.9190,4.6901,0.3256,HF,01-04-2025-1552_Stemi 305_0.8x_HF,,0.3256,
65,1076642.622,4848.443,1.0766,4.8484,0.4403,HF,01-04-2025-1552_Stemi 305_0.8x_HF,,0.4403,
66,703149.257,3360.435,0.7031,3.3604,0.2979,HF,01-04-2025-1552_Stemi 305_0.8x_HF,,0.2979,
67,1043634.876,4267.007,1.0436,4.2670,0.5001,HF,01-04-2025-1552_Stemi 305_0.8x_HF,good for photo,0.5001,
68,1160553.896,5370.331,1.1606,5.3703,0.4504,HF,01-04-2025-1550_Stemi 305_0.8x_HF-02,good for photo,0.4504,
69,1279048.412,5590.394,1.2790,5.5904,0.5271,HF,01-04-2025-1550_Stemi 305_0.8x_HF-02,,0.5271,
70,1249123.538,5698.458,1.2491,5.6985,0.4881,HF,01-04-2025-1550_Stemi 305_0.8x_HF,,0.4881,
71,981102.293,4833.646,0.9811,4.8336,0.3604,HF,01-04-2025-1548_Stemi 305_0.8x_HF-02,,0.3604,
72,1065877.17,5044.084,1.0659,5.0441,0.4074,HF,01-04-2025-1548_Stemi 305_0.8x_HF-02,,0.4074,
