sample id,Species,Temp,pH,Light,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
18,Stylophora,27,8.2,10m,NF,20250408.04,Aug-25,29489,614.5,2.8,52.5,15.98,8.8,16.7,7.9,0.472,326.8,0.64,0.56,207,0.31,3856,0.12,1144903,--------,-------,1512,140658,1800,18.4,19.8,1.4,0.069,2036.7,0.69,0.137,1079,0.785,11922,0.078,43382,--------,-------,10310,12874,97
19,Stylophora,27,8.2,10m,NF,20250408.04,Aug-25,29501,531.7,2.8,52.5,15.98,4.9,8.9,3.9,0.443,707.6,0.28,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,10.1,9.3,-0.8,-0.086,206.5,0.7,0.579,686,0.375,5721,0.046,121387,--------,-------,2664,8135,375.4
20,Stylophora,27,8.2,10m,NF,20250408.04,Aug-25,29515,662.8,2.8,52.7,15.98,5.9,10.1,4.2,0.414,474.1,0,0.57,965,0.14,972,0.29,48560,--------,-------,966,14688,1800,11.2,13.5,2.3,0.168,1996.9,0.69,0.087,929,0.83,11974,0.082,33947,--------,-------,10924,12821,91.5
21,Stylophora,27,8.2,10m,NF,20250408.04,Aug-25,29533,900,2.9,52.5,15.97,6.7,10.5,3.8,0.364,252.8,0.28,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,12.3,15.7,3.4,0.217,751.6,0,0.993,32,0.006,591,0.001,8118,--------,-------,36,42,28154.2
22,Stylophora,27,8.2,10m,NF,20250408.04,Aug-25,29546,900,2.7,52.6,15.97,4.5,8.1,3.6,0.442,446.4,0.57,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,7.1,10.1,3.1,0.303,2283.4,0.69,0.838,212,0.146,7502,0.016,139680,--------,-------,1294,3565,773.1
23,Stylophora,27,8.2,10m,NF,20250408.04,Aug-25,29628,900,2.3,52.6,15.96,4.6,7.3,2.7,0.373,227.3,0.53,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,10.4,10,-0.4,-0.035,209.5,0.7,0.152,1681,0.764,17151,0.084,301211,--------,-------,14585,38548,68.6
24,Stylophora,27,8.2,10m,NF,20250408.04,Aug-25,29643,630,2.5,53.5,15.95,12.3,22.7,10.4,0.457,364,0.44,0.49,422,0.3,866,0.21,97554,--------,-------,593,20865,1500,28,31.4,3.4,0.107,275.9,0.01,0.095,404,0.808,12349,0.097,12368,--------,-------,11093,11216,90.1
25,Stylophora,27,8.2,10m,NF,20250408.05,Aug-25,29655,522,2.7,53.6,15.95,10.3,18.4,8.2,0.443,447.8,0,0.45,421,0.42,667,0.13,1144903,--------,-------,541,145344,1600,22.1,24.2,2.1,0.088,639.1,0.01,0.102,158,0.703,21119,0.194,21182,--------,-------,18462,18991,54.2
26,Stylophora,27,8.2,10m,NF,20250408.05,Aug-25,29669,668.5,2.5,53.8,15.94,15,26.1,11.2,0.427,407.8,0.45,0.54,162,0.38,1400,0.08,85230,--------,-------,670,7776,1500,32.3,34.2,1.9,0.055,150.7,0.69,0.012,599,0.934,23407,0.054,23871,--------,-------,23122,23162,43.2
27,Stylophora,27,8.2,10m,NF,20250408.05,Aug-25,29682,899.2,2.5,53.8,15.94,8.3,13.9,5.6,0.4,499.5,0.11,0.58,661,0.1,673,0.32,67578,--------,-------,662,22184,1800,19.6,21.3,1.6,0.077,3699.5,0.7,0.297,197,0.663,12063,0.04,78931,--------,-------,8395,11212,119.1
28,Stylophora,27,8.2,10m,NF,20250408.05,Aug-25,33178,525.5,1.1,66.1,15.16,7.2,12.1,4.8,0.399,597.3,0.3,0.68,610,0.05,37193,0.27,39030,--------,-------,3327,12972,1800,13.4,14.9,1.5,0.103,397.7,0.01,0.098,1047,0.078,7495,0.824,9193,--------,-------,8331,8266,120
29,Stylophora,27,8.2,10m,NF,20250408.05,Aug-25,33190,422.3,1.1,65.9,15.16,7.6,13,5.4,0.412,469.4,0,0.51,676,0.22,4458,0.26,60261,--------,-------,1830,17185,1800,13.8,16.2,2.4,0.147,395.8,0.01,0.419,1138,0.035,4211,0.546,7882,--------,-------,4950,4924,202
30,Stylophora,27,8.2,10m,NF,20250408.05,Aug-25,33204,894.4,1.1,66.2,15.15,7.3,12.1,4.8,0.395,412.8,0.68,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,13.4,15.6,2.3,0.146,186.5,0.69,0.861,264,0.125,976,0.014,16165,--------,-------,354,574,2826.7
31,Stylophora,27,8.2,10m,NF,20250408.05,Aug-25,33218,747.3,1.1,65.6,15.15,9.2,13.7,4.5,0.328,430.9,0.69,0.45,612,0.4,4769,0.15,127755,--------,-------,2567,21223,1800,17.2,17.5,0.2,0.014,163.2,0,0.061,125,0.939,4653,0.001,35543,--------,-------,4378,4401,228.4
32,Stylophora,32,8.2,10m,HF,20250408.01,Aug-25,27300,245,3.6,42.7,16.34,2.5,2.1,-0.5,-0.228,282.5,0.28,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,2.2,3.4,1.2,0.352,254.9,0.11,0.995,103,0.004,1327,0.001,26542,--------,-------,108,127,9226.5
33,Stylophora,32,8.2,10m,HF,20250408.01,Aug-25,27325,171.5,3.3,42.4,16.33,3.4,2.7,-0.7,-0.261,566.9,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,3.2,4.4,1.2,0.279,304.3,0.7,0.999,123,0,3691,0,57209,--------,-------,123,146,8124
34,Stylophora,32,8.2,10m,NF,20250408.01,Aug-25,27660,630,3.4,44.9,16.25,3,3,0,-0.012,665.9,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,1.1,3.9,2.9,0.725,2530.8,0.7,0.782,499,0.163,10161,0.055,148723,--------,-------,2166,10286,461.7
35,Stylophora,32,8.2,10m,NF,20250408.02,Aug-25,27685,441,3.5,44.7,16.25,2.3,3.8,1.5,0.397,126.9,0.48,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,3.5,3.3,-0.3,-0.085,330.1,0.69,0.036,2303,0.872,23027,0.092,397973,--------,-------,22210,56810,45
36,Stylophora,32,8.2,10m,NF,20250408.02,Aug-25,27772,900,4.2,45.6,16.24,3.1,3,0,-0.016,242.7,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,5.8,3.7,-2.1,-0.572,288.9,0.7,0.178,1282,0.739,12509,0.083,240385,--------,-------,10327,29311,96.8
37,Stylophora,32,8.2,10m,NF,20250408.02,Aug-25,27900,524.4,4.1,45.6,16.22,2.4,4.3,1.9,0.432,234.4,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,5.5,5,-0.5,-0.1,208.3,0.7,0.119,1467,0.791,14674,0.09,276085,--------,-------,12953,36723,77.2
38,Stylophora,32,8.2,10m,NF,20250408.02,Aug-25,27916,644.8,4,46,16.22,5.3,8.5,3.2,0.379,622.9,0.13,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,12.2,12.1,-0.1,-0.011,201.1,0.69,0.027,4557,0.882,47335,0.092,403676,--------,-------,46085,78909,21.7
39,Stylophora,32,8.2,10m,NF,20250408.02,Aug-25,27938,900,4,46.4,16.22,2.7,3.6,0.9,0.255,526.7,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,5.9,6.5,0.6,0.09,186.5,0.69,0.982,119,0.017,810,0.001,13140,--------,-------,130,150,7675.2
40,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39768,462.7,-1.9,74.5,14.09,6.4,10.2,3.9,0.377,438.9,0.54,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,10.7,13.4,2.7,0.204,178.4,0.7,0.789,247,0.198,3006,0.013,60129,--------,-------,801,1587,1248.9
41,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39781,722,-1.9,75.1,14.09,7.3,13.9,6.6,0.477,539.4,0,0.34,490,0.38,1747,0.28,210782,--------,-------,1160,59696,1800,16.3,18.7,2.4,0.126,715.5,0.01,0.859,37,0.14,9234,0,90195,--------,-------,1329,1340,752.7
42,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39793,900,-1.9,75.1,14.08,6.2,9.8,3.5,0.36,526.9,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,10.7,15.5,4.8,0.311,34.9,0.7,0.83,195,0.15,991,0.02,14330,--------,-------,317,590,3159
43,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39805,712.7,-1.9,75.1,14.08,7.7,12.5,4.8,0.386,502.6,0.45,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,13.2,14.7,1.4,0.098,1990,0.7,0.899,147,0.088,5101,0.012,96384,--------,-------,591,1781,1693
44,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39816,498.9,-1.9,75.4,14.08,7.5,14.5,7.1,0.488,543.9,0.17,0.53,827,0.3,3715,0.17,912898,--------,-------,1877,160745,1700,16.9,18.7,1.7,0.093,1498.8,0.69,0.134,986,0.797,12811,0.069,21870,--------,-------,11109,11846,90
45,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39828,379.4,-1.9,75.6,14.08,4.5,9.6,5.2,0.538,714.9,0,0.59,192,0.26,3652,0.15,565861,--------,-------,1235,87693,1800,9.9,11.7,1.8,0.155,139.7,0.14,0.001,193,0.949,13203,0.05,13250,--------,-------,13192,13195,75.8
46,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39843,607.9,-1.9,75.6,14.08,4.3,7.6,3.3,0.438,918.5,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,8.8,9.9,1.1,0.109,93.8,0.69,0.57,799,0.409,1947,0.022,68494,--------,-------,1279,2733,782
47,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39854,425.5,-2,75.3,14.08,10.8,20.9,10.1,0.483,532.7,0.39,0.61,225,0.28,6786,0.11,837675,--------,-------,2257,94168,1600,22,24.7,2.7,0.11,1568.5,0.7,0.161,602,0.771,13295,0.068,39824,--------,-------,11106,13060,90
48,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39866,375.8,-2,75.5,14.07,7.6,13.5,5.8,0.432,295,0,0.69,1207,0.05,20746,0.26,21293,--------,-------,2553,7383,1700,14.4,16.5,2.1,0.129,911,0.01,0.026,427,0.049,11483,0.924,12995,--------,-------,12646,12588,79.1
49,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,39913,900,-2,75.7,14.07,4.7,7.5,2.8,0.367,527.3,0.49,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,10.5,9.7,-0.8,-0.083,193.4,0.7,0.248,1135,0.672,11580,0.08,223558,--------,-------,8764,25950,114.1
50,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40243,789.9,-2,76.1,14.03,6,9.6,3.6,0.375,391.1,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,9.5,8.8,-0.7,-0.081,419.2,0.69,0.106,2649,0.818,22996,0.076,422090,--------,-------,20653,51072,48.4
51,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40257,900,-2,76.3,14.02,7.1,9.5,2.4,0.255,425.1,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,12.9,10.7,-2.2,-0.203,250.4,0.47,0.045,31,0.882,31,0.073,40,--------,-------,32,32,31389.6
52,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40269,630,-2,76.2,14.02,6.9,11.3,4.4,0.389,313.6,0,0.72,415,0.03,513,0.26,210376,--------,-------,418,54590,1800,12.4,13.1,0.7,0.05,2666.9,0.69,0.694,163,0.271,13346,0.036,73336,--------,-------,3864,6348,258.8
53,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40295,900,-2,76,14.01,2.3,2.5,0.3,0.103,274,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,4.1,2.6,-1.5,-0.57,296.3,0.69,0.296,1187,0.629,10380,0.075,212309,--------,-------,7441,22849,134.4
