ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030018,Z disc,1/257,71/8488,0.014084507,0.465172357,-0.799616447,0.888323714,0.976053281,0.836148667,LOC111326058,1
GO:1990830,cellular response to leukemia inhibitory factor,1/257,71/8488,0.014084507,0.465172357,-0.799616447,0.888323714,0.976053281,0.836148667,LOC111338817,1
GO:0030016,myofibril,2/257,122/8488,0.016393443,0.541430121,-0.901454627,0.888766601,0.976053281,0.836148667,LOC111330205/LOC111326058,2
GO:0005774,vacuolar membrane,3/257,168/8488,0.017857143,0.589772096,-0.948932974,0.888639697,0.976053281,0.836148667,LOC111342143/LOC111323527/LOC111342147,3
GO:0048193,Golgi vesicle transport,5/257,254/8488,0.019685039,0.650142468,-1.000276389,0.88863957,0.976053281,0.836148667,LOC111326934/LOC111321489/LOC111327334/LOC111344752/LOC111328207,5
GO:0007219,Notch signaling pathway,1/257,72/8488,0.013888889,0.45871163,-0.815003442,0.891733576,0.977171073,0.837106239,LOC111329099,1
GO:0071219,cellular response to molecule of bacterial origin,1/257,72/8488,0.013888889,0.45871163,-0.815003442,0.891733576,0.977171073,0.837106239,LOC111332158,1
GO:0097327,response to antineoplastic agent,1/257,72/8488,0.013888889,0.45871163,-0.815003442,0.891733576,0.977171073,0.837106239,LOC111322288,1
GO:0008021,synaptic vesicle,2/257,123/8488,0.016260163,0.53702825,-0.913884764,0.891470865,0.977171073,0.837106239,LOC111342023/LOC111343017,2
GO:0008593,regulation of Notch signaling pathway,2/257,123/8488,0.016260163,0.53702825,-0.913884764,0.891470865,0.977171073,0.837106239,LOC111329099/LOC111333893,2
GO:0016241,regulation of macroautophagy,2/257,123/8488,0.016260163,0.53702825,-0.913884764,0.891470865,0.977171073,0.837106239,LOC111342143/LOC111342147,2
GO:0006839,mitochondrial transport,2/257,124/8488,0.016129032,0.532697377,-0.926231212,0.894114183,0.979066422,0.838729914,LOC111346891/LOC111324621,2
GO:0046328,regulation of JNK cascade,2/257,124/8488,0.016129032,0.532697377,-0.926231212,0.894114183,0.979066422,0.838729914,LOC111323862/LOC111333893,2
GO:0070555,response to interleukin-1,1/257,73/8488,0.01369863,0.452427909,-0.830219704,0.895039716,0.979366848,0.838987277,LOC111325642,1
GO:0072091,regulation of stem cell proliferation,1/257,73/8488,0.01369863,0.452427909,-0.830219704,0.895039716,0.979366848,0.838987277,LOC111333767,1
GO:0003341,cilium movement,1/257,74/8488,0.013513514,0.446314018,-0.845270079,0.898245276,0.980022412,0.839548875,LOC111331389,1
GO:0003727,single-stranded RNA binding,1/257,74/8488,0.013513514,0.446314018,-0.845270079,0.898245276,0.980022412,0.839548875,LOC111343122,1
GO:0005903,brush border,1/257,74/8488,0.013513514,0.446314018,-0.845270079,0.898245276,0.980022412,0.839548875,LOC111330251,1
GO:1903561,extracellular vesicle,1/257,74/8488,0.013513514,0.446314018,-0.845270079,0.898245276,0.980022412,0.839548875,LOC111336828,1
