,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,NCBI.GeneID,Symbol,Description,Gene.Type,Annotation.Genomic.Range.Accession,SwissProt.Accessions
34,35.47836552,2.232358508,0.392025202,5.694426016,1.24E-08,3.67E-06,Fluorescent,111341580,LOC111341580,mucin-2-like,PROTEIN_CODING,NW_019218293.1,
35,14.85673898,2.499139973,0.443505746,5.634966395,1.75E-08,4.95E-06,Fluorescent,111338999,LOC111338999,linear gramicidin synthase subunit D-like,PROTEIN_CODING,NW_019218174.1,
36,529.7468446,1.534135669,0.273958328,5.599886955,2.14E-08,5.90E-06,Fluorescent,111337124,LOC111337124,failed axon connections homolog,PROTEIN_CODING,NW_019218108.1,
37,20.42291126,2.649771883,0.475674547,5.570556386,2.54E-08,6.79E-06,Fluorescent,111323862,LOC111323862,inactive tyrosine-protein kinase transmembrane receptor ROR1-like,PROTEIN_CODING,NW_019217837.1,
38,52.26783384,2.230764859,0.401221257,5.559936867,2.70E-08,7.03E-06,Fluorescent,111340560,LOC111340560,uncharacterized skeletal organic matrix protein 7-like,PROTEIN_CODING,NW_019217796.1,
39,11.50819374,4.160349954,0.748899466,5.55528498,2.77E-08,7.03E-06,Fluorescent,111344518,LOC111344518,GFP-like fluorescent chromoprotein amFP486,PROTEIN_CODING,NW_019218533.1,
40,12.93312813,2.840770386,0.515188628,5.514039388,3.51E-08,8.68E-06,Fluorescent,111320024,LOC111320024,MAM and LDL-receptor class A domain-containing protein 1-like,PROTEIN_CODING,NW_019220776.1,
41,21.73034452,2.555086689,0.464366934,5.502301099,3.75E-08,9.05E-06,Fluorescent,111325264,LOC111325264,endothelin-converting enzyme homolog,PROTEIN_CODING,NW_019217853.1,
42,54.65619839,1.762573166,0.323233007,5.452949199,4.95E-08,1.17E-05,Fluorescent,111346087,LOC111346087,fatty acyl-CoA reductase 1-like,PROTEIN_CODING,NW_019218768.1,
43,55.50107676,1.72567084,0.316842623,5.446460537,5.14E-08,1.18E-05,Fluorescent,111340822,LOC111340822,biliverdin reductase A-like,PROTEIN_CODING,NW_019218255.1,
