ID,Description,p.adjust,mean_logFC,n_genes_matched,contrast,z_logFC,Description_ordered
GO:0061045,negative regulation of wound healing,0.00531449131647356,1.869202647025606,5,FLvNF,-0.5395631985521984,negative regulation of wound healing
GO:0061134,peptidase regulator activity,0.01893595453131025,2.61520968022227,7,FLvNF,0.966894341468153,peptidase regulator activity
GO:0061298,retina vasculature development in camera-type eye,0.04861330139558764,2.0952929095008797,3,FLvNF,-0.08300533049619073,retina vasculature development in camera-type eye
GO:0061448,connective tissue development,0.00265917381327601,2.6417715275205382,11,FLvNF,1.0205323011102794,connective tissue development
GO:0061458,reproductive system development,0.00438845423444507,2.1834840646198166,20,FLvNF,0.09508445241474742,reproductive system development
GO:0061564,axon development,0.00128742738517626,2.2135631150308472,24,FLvNF,0.1558249150001771,axon development
GO:0062009,secondary palate development,0.03523099268546427,2.2108005352461135,3,FLvNF,0.15024626900700616,secondary palate development
GO:0062023,collagen-containing extracellular matrix,4.6572727355995276e-11,2.1440985806165767,21,FLvNF,0.01555094039169074,collagen-containing extracellular matrix
GO:0070325,lipoprotein particle receptor binding,0.0448196635976944,1.5977068186996175,4,FLvNF,-1.0878112973847136,lipoprotein particle receptor binding
GO:0070613,regulation of protein processing,0.01002912336817945,2.600954468393577,7,FLvNF,0.9381079220534437,regulation of protein processing
GO:0070848,response to growth factor,0.03312864458698161,2.212674131787232,16,FLvNF,0.1540297368708808,response to growth factor
GO:0071107,response to parathyroid hormone,0.04861330139558764,2.43644230782729,3,FLvNF,0.6058984740430678,response to parathyroid hormone
GO:0071260,cellular response to mechanical stimulus,0.04750629172073738,2.0912382373868335,6,FLvNF,-0.09119317740205884,cellular response to mechanical stimulus
GO:0071300,cellular response to retinoic acid,0.01180681189185586,2.308810870648163,6,FLvNF,0.34816452204768195,cellular response to retinoic acid
GO:0071363,cellular response to growth factor stimulus,0.03029287961713511,2.212674131787232,16,FLvNF,0.1540297368708808,cellular response to growth factor stimulus
GO:0071374,cellular response to parathyroid hormone stimulus,0.03523099268546427,2.43644230782729,3,FLvNF,0.6058984740430678,cellular response to parathyroid hormone stimulus
GO:0071599,otic vesicle development,0.03312864458698161,2.3205086830444626,4,FLvNF,0.37178662867935386,otic vesicle development
GO:0071711,basement membrane organization,9.385356543496862e-4,2.2820194611886913,7,FLvNF,0.2940629935204648,basement membrane organization
GO:0071772,response to BMP,0.03304390023557463,2.267668883653128,5,FLvNF,0.2650839963125433,response to BMP
GO:0071773,cellular response to BMP stimulus,0.03304390023557463,2.267668883653128,5,FLvNF,0.2650839963125433,cellular response to BMP stimulus
GO:0072001,renal system development,0.02851765960029031,1.9962423154869946,13,FLvNF,-0.2830242412513863,renal system development
GO:0072359,circulatory system development,0.00531449131647356,2.180641013112071,26,FLvNF,0.08934330495913027,circulatory system development
GO:0072376,protein activation cascade,8.831249061079845e-5,2.4008584031727884,6,FLvNF,0.5340417232555624,protein activation cascade
GO:0072378,"blood coagulation, fibrin clot formation",0.03029287961713511,1.80743992907028,3,FLvNF,-0.6642844250495669,"blood coagulation, fibrin clot formation"
GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.00305506991201291,2.2931954946588102,12,FLvNF,0.3166314401159838,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.01073807367610462,2.4988474342695,8,FLvNF,0.7319169552120081,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
