ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005319,lipid transporter activity,8/235,49/7448,0.163265306122449,5.17446808510638,5.29150624999365,0.000128418167295253,0.00253814730654148,0.0021866870592071,LOC111337480/LOC111325671/LOC111337489/LOC111323127/LOC111342143/LOC111321178/LOC111334900/LOC111342147,8
GO:0008028,monocarboxylic acid transmembrane transporter activity,5/235,21/7448,0.238095238095238,7.54609929078014,5.42190827002901,0.000402991871330793,0.00752251493150813,0.00648086342783438,LOC111330589/LOC111342077/LOC111336930/LOC111334900/LOC111328842,5
GO:0005539,glycosaminoglycan binding,8/235,59/7448,0.135593220338983,4.2974395961053,4.58961930060412,0.000481289740324012,0.00851122909204568,0.00733266917391154,LOC111328024/LOC111342023/LOC111322288/LOC111333170/LOC111325671/LOC111327334/LOC111331622/LOC111340622,8
GO:0005518,collagen binding,6/235,34/7448,0.176470588235294,5.59299123904881,4.84479523849389,0.000592752060873792,0.00995823462267971,0.00857930614422594,LOC111327880/LOC111328393/LOC111322288/LOC111335693/LOC111331622/LOC111333695,6
GO:0008233,peptidase activity,19/235,265/7448,0.0716981132075472,2.27237254114813,3.80671999984911,0.000677096950935917,0.0108335512149747,0.00933341661691114,LOC111327880/LOC111323911/LOC111320816/LOC111320952/LOC111333986/LOC111328749/LOC111336934/LOC111338418/LOC111327334/LOC111325560/LOC111323636/LOC111326544/LOC111342546/LOC111333695/LOC111344752/LOC111328207/LOC111321502/LOC111335667/LOC111330437,19
GO:0043394,proteoglycan binding,5/235,24/7448,0.208333333333333,6.60283687943262,4.96205141368108,0.000779091961794766,0.0118988590528655,0.0102512100236153,LOC111342023/LOC111333893/LOC111333695/LOC111340596/LOC111340622,5
GO:0042813,Wnt receptor activity,4/235,17/7448,0.235294117647059,7.45732165206508,4.81082868712284,0.00166266931714305,0.0242894300243507,0.0209260440372695,LOC111323862/LOC111336974/LOC111333893/LOC111322245,4
GO:0030414,peptidase inhibitor activity,6/235,42/7448,0.142857142857143,4.52765957446809,4.13795822192118,0.00187327402627377,0.0262258363678328,0.0225943139133898,LOC111330856/LOC111327252/LOC111327625/LOC111326819/LOC111326544/LOC111325220,6
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,17/235,254/7448,0.0669291338582677,2.12122633606969,3.28164481362117,0.0027008095441677,0.0362988802736139,0.0312725315640471,LOC111330631/LOC111328662/LOC111328602/LOC111341087/LOC111326654/LOC111338776/LOC111340883/LOC111321709/LOC111339122/LOC111335662/LOC111325851/LOC111332020/LOC111331301/LOC111333767/LOC111320928/LOC111344472/LOC111333334,17
GO:0061134,peptidase regulator activity,7/235,61/7448,0.114754098360656,3.63697244506453,3.73252823472763,0.00290965531432557,0.0365492240881446,0.0314882099756885,LOC111330856/LOC111327252/LOC111327625/LOC111326819/LOC111326544/LOC111325220/LOC111344752,7
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",6/235,46/7448,0.130434782608696,4.13395004625347,3.84824830851012,0.00301193900882828,0.0365492240881446,0.0314882099756885,LOC111324504/LOC111334156/LOC111346317/LOC111336425/LOC111337168/LOC111329016,6
GO:0005126,cytokine receptor binding,8/235,78/7448,0.102564102564103,3.2506273867976,3.60648224665747,0.00304576867401205,0.0365492240881446,0.0314882099756885,LOC111336303/LOC111325642/LOC111322288/LOC111328749/LOC111322400/LOC111323636/LOC111334113/LOC111343646,8
