pathway,enriched_in,pval,padj,log2err,ES,NES,size,leadingEdge
Pentose phosphate pathway,HF,0.00177282693002649,0.0148835005055712,0.45505986738723,0.401479749589769,1.56549452577054,119,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111335816;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111328614;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Abacavir transmembrane transport,HF,0.00233254377697821,0.0155934871016507,0.431707695803346,0.463095764301047,1.64751172822782,68,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111341071;LOC111340611;LOC111325097;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147;LOC111329100;LOC111337038;LOC111338896;LOC111344897;LOC111329879;LOC111330115
Cellular hexose transport,HF,0.00233254377697821,0.0155934871016507,0.431707695803346,0.463095764301047,1.64751172822782,68,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111341071;LOC111340611;LOC111325097;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147;LOC111329100;LOC111337038;LOC111338896;LOC111344897;LOC111329879;LOC111330115
Galactose catabolism,HF,0.0020735722520273,0.0155934871016507,0.431707695803346,0.408657831897322,1.57708247959527,115,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111341932;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Inositol transporters,HF,0.00233254377697821,0.0155934871016507,0.431707695803346,0.463095764301047,1.64751172822782,68,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111341071;LOC111340611;LOC111325097;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147;LOC111329100;LOC111337038;LOC111338896;LOC111344897;LOC111329879;LOC111330115
Intestinal hexose absorption,HF,0.00233254377697821,0.0155934871016507,0.431707695803346,0.463095764301047,1.64751172822782,68,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111341071;LOC111340611;LOC111325097;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147;LOC111329100;LOC111337038;LOC111338896;LOC111344897;LOC111329879;LOC111330115
Organic anion transport by SLC22 transporters,HF,0.00233254377697821,0.0155934871016507,0.431707695803346,0.463095764301047,1.64751172822782,68,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111341071;LOC111340611;LOC111325097;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147;LOC111329100;LOC111337038;LOC111338896;LOC111344897;LOC111329879;LOC111330115
Proton/oligopeptide cotransporters,HF,0.00233254377697821,0.0155934871016507,0.431707695803346,0.463095764301047,1.64751172822782,68,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111341071;LOC111340611;LOC111325097;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147;LOC111329100;LOC111337038;LOC111338896;LOC111344897;LOC111329879;LOC111330115
Beta oxidation of butanoyl-CoA to acetyl-CoA,HF,0.00280266206165434,0.0173309913668658,0.431707695803346,0.412628360517632,1.58335260314303,110,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Formation of xylulose-5-phosphate,HF,0.00264945378425597,0.0173309913668658,0.431707695803346,0.382756048703153,1.53905730929036,146,LOC111338999;LOC111346087;LOC111340822;LOC111336458;LOC111331622;LOC111326870;LOC111322183;LOC111319417;LOC111323872;LOC111325818;LOC111344495;LOC111333162;LOC111339718;LOC111323209;LOC111338532;LOC111320912;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330088;LOC111341503;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889;LOC111344746;LOC111337585
Glycolysis,HF,0.00269939135836337,0.0173309913668658,0.431707695803346,0.371237897585936,1.51760209541963,168,LOC111338999;LOC111346087;LOC111340822;LOC111336458;LOC111331622;LOC111326870;LOC111322183;LOC111319417;LOC111323872;LOC111325818;LOC111344495;LOC111333162;LOC111339718;LOC111323209;LOC111338532;LOC111320912;LOC111339547;LOC111331594;LOC111335816;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111344699;LOC111328638;LOC111329760;LOC111328754;LOC111341503;LOC111330981;LOC111344377;LOC111344466;LOC111328614;LOC111332435;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889;LOC111344746;LOC111332077;LOC111344409;LOC111319399;LOC111329534;LOC111330077;LOC111324452;LOC111322492;LOC111336422;LOC111322027;LOC111327564
Sulfur amino acid metabolism,HF,0.00293415552312715,0.017653835730815,0.431707695803346,0.396467921833001,1.54705654607155,121,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111324403;LOC111326870;LOC111322183;LOC111336507;LOC111323872;LOC111344161;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Vitamin B1 (thiamin) metabolism,HF,0.00319052399057117,0.0185770832354225,0.431707695803346,0.462349265583387,1.6497933198486,69,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111341071;LOC111340611;LOC111325097;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147;LOC111329100;LOC111337038;LOC111338896;LOC111344897;LOC111329879;LOC111330115
Amino acid transport across the plasma membrane,HF,0.00346450051907945,0.0190543841299535,0.431707695803346,0.511347155612498,1.68212410953533,44,LOC111342077;LOC111336867;LOC111336425;LOC111337168;LOC111330991;LOC111328311;LOC111325383;LOC111331519;LOC111334019;LOC111331721;LOC111320587;LOC111331719;LOC111321885;LOC111338570;LOC111343887;LOC111332281;LOC111342329;LOC111326244;LOC111330295;LOC111325484
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,HF,0.0035497620454365,0.0190543841299535,0.431707695803346,0.401003482556534,1.55529584699192,116,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111323854;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,HF,0.0035497620454365,0.0190543841299535,0.431707695803346,0.401003482556534,1.55529584699192,116,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111323854;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
CS/DS degradation,HF,0.00369475592547576,0.0190543841299535,0.431707695803346,0.631253337947017,1.79313957103012,22,LOC111336425;LOC111337168;LOC111330991;LOC111325383;LOC111331721;LOC111320587;LOC111331719;LOC111321885;LOC111338570;LOC111343887;LOC111330295;LOC111325484
Cross-presentation of particulate exogenous antigens (phagosomes),HF,0.00364211383572134,0.0190543841299535,0.431707695803346,0.437697671226897,1.61184759083216,81,LOC111320781;LOC111335693;LOC111343161;LOC111320842;LOC111328588;LOC111328589;LOC111345231;LOC111328603;LOC111337343;LOC111320818;LOC111327524;LOC111330483;LOC111320650;LOC111324842;LOC111342188;LOC111335674;LOC111330701;LOC111321825;LOC111335691;LOC111333809;LOC111324039;LOC111343165;LOC111340679;LOC111343164;LOC111337261;LOC111323994;LOC111336301;LOC111326339
Digestion of dietary carbohydrate,HF,0.00369475592547576,0.0190543841299535,0.431707695803346,0.631253337947017,1.79313957103012,22,LOC111336425;LOC111337168;LOC111330991;LOC111325383;LOC111331721;LOC111320587;LOC111331719;LOC111321885;LOC111338570;LOC111343887;LOC111330295;LOC111325484
Interaction With Cumulus Cells And The Zona Pellucida,HF,0.00369475592547576,0.0190543841299535,0.431707695803346,0.631253337947017,1.79313957103012,22,LOC111336425;LOC111337168;LOC111330991;LOC111325383;LOC111331721;LOC111320587;LOC111331719;LOC111321885;LOC111338570;LOC111343887;LOC111330295;LOC111325484
Keratan sulfate degradation,HF,0.00369475592547576,0.0190543841299535,0.431707695803346,0.631253337947017,1.79313957103012,22,LOC111336425;LOC111337168;LOC111330991;LOC111325383;LOC111331721;LOC111320587;LOC111331719;LOC111321885;LOC111338570;LOC111343887;LOC111330295;LOC111325484
Metabolism of Angiotensinogen to Angiotensins,HF,0.00378946492831764,0.0190903796003169,0.431707695803346,0.377288411683971,1.52787101569451,155,LOC111325264;LOC111340872;LOC111340194;LOC111335819;LOC111333695;LOC111344752;LOC111321502;LOC111329960;LOC111321012;LOC111322973;LOC111321971;LOC111333988;LOC111337055;LOC111330154;LOC111322096;LOC111323811;LOC111335653;LOC111339547;LOC111345515;LOC111327165;LOC111336926;LOC111337639;LOC111340232;LOC111334343;LOC111327395;LOC111326180;LOC111327696;LOC111321616;LOC111327447;LOC111334397;LOC111340856;LOC111332678;LOC111332472;LOC111342271;LOC111326936;LOC111328555;LOC111330293;LOC111335762;LOC111325151;LOC111334359;LOC111319399;LOC111324243
Pyruvate metabolism,HF,0.00462492180518869,0.0228711886530564,0.407017918923954,0.379694911963643,1.51034129607337,134,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111342103;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111328646;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111344699;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111329531;LOC111330983;LOC111328618;LOC111334296;LOC111339971;LOC111327401;LOC111321964;LOC111321561;LOC111328889
"Formation of the active cofactor, UDP-glucuronate",HF,0.00485118618509939,0.0230839466535698,0.407017918923954,0.396399673314015,1.5394093752813,117,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111342297;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
IRS-mediated signalling,HF,0.00483950669379295,0.0230839466535698,0.407017918923954,0.467154793081352,1.6364821187218,62,LOC111333613;LOC111335732;LOC111328517;LOC111325968;LOC111333625;LOC111340901;LOC111337925;LOC111338267;LOC111342867;LOC111332928;LOC111330590;LOC111322622;LOC111328302;LOC111320967;LOC111337253;LOC111326712;LOC111337864;LOC111334959;LOC111341008;LOC111337217;LOC111332953;LOC111328053;LOC111326613;LOC111341697;LOC111334600;LOC111344537;LOC111334461
SLC-mediated transport of neurotransmitters,HF,0.0048597782428568,0.0230839466535698,0.407017918923954,0.442837715874853,1.61888886251188,77,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111336867;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111341071;LOC111340611;LOC111325097;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147
GDP-fucose biosynthesis,HF,0.00503424744502046,0.0236021211383427,0.407017918923954,0.395162994506577,1.5346067604495,117,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111342297;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Lactose synthesis,HF,0.00523456260094311,0.0242266294735957,0.407017918923954,0.446804061358522,1.59432362194932,69,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111341071;LOC111340611;LOC111325097;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147
Branched-chain amino acid catabolism,HF,0.00622620504624547,0.0274104880694465,0.407017918923954,0.375061516019882,1.49775686626546,138,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111330761;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111340302;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111332294;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111336376;LOC111328754;LOC111323854;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889;LOC111342559;LOC111319399;LOC111328594;LOC111322492;LOC111337893;LOC111336348;LOC111324069;LOC111326275;LOC111334098;LOC111323219;LOC111328982;LOC111323739;LOC111343443;LOC111321017;LOC111327251;LOC111341552;LOC111337058;LOC111323433;LOC111337028
Activation of the TFAP2 (AP-2) family of transcription factors,HF,0.00658223263819823,0.0286287467757778,0.407017918923954,0.378941053707648,1.49058298388621,129,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111320705;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111322420;LOC111328889
Synthesis of very long-chain fatty acyl-CoAs,HF,0.0071063030168,0.0305401832031524,0.407017918923954,0.341772827982687,1.43699641258691,210,LOC111338999;LOC111346087;LOC111340822;LOC111331664;LOC111346320;LOC111331622;LOC111328517;LOC111341830;LOC111340901;LOC111326870;LOC111322183;LOC111323872;LOC111321466;LOC111325894;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111332432;LOC111328832;LOC111339547;LOC111331594;LOC111343889;LOC111323917;LOC111322954;LOC111345038;LOC111321023;LOC111333199;LOC111334882;LOC111328518;LOC111334973;LOC111328638;LOC111340554;LOC111329760;LOC111328754;LOC111329261;LOC111341682;LOC111330981;LOC111333941;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889;LOC111322210;LOC111322917;LOC111338467
Hyaluronan degradation,HF,0.00737992828527668,0.0313312271859556,0.407017918923954,0.572193480303768,1.67407673095121,26,LOC111336425;LOC111337168;LOC111330991;LOC111325383;LOC111331721;LOC111320587;LOC111331719;LOC111321885;LOC111338570;LOC111343887;LOC111330295;LOC111325484
MHC class II antigen presentation,HF,0.00746394885870411,0.0313312271859556,0.407017918923954,0.384547643322611,1.51206907076892,127,LOC111340872;LOC111340194;LOC111335819;LOC111322266;LOC111322261;LOC111333695;LOC111344752;LOC111329960;LOC111321012;LOC111321971;LOC111337055;LOC111330154;LOC111322096;LOC111323811;LOC111339547;LOC111327165;LOC111336926;LOC111337639;LOC111340232;LOC111327395;LOC111326180;LOC111327696;LOC111321616;LOC111327447;LOC111334397;LOC111340856
"Synthesis of IP2, IP, and Ins in the cytosol",HF,0.00834658839733891,0.0342399819481744,0.380730400722792,0.370082671251682,1.46248151631697,132,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111343383;LOC111328889
Reactions specific to the complex N-glycan synthesis pathway,HF,0.0089784953098811,0.0364183910883941,0.380730400722792,0.375666187349585,1.44858940842248,114,LOC111336425;LOC111337168;LOC111329016;LOC111333625;LOC111330991;LOC111325383;LOC111342253;LOC111327624;LOC111343988;LOC111341709;LOC111321316;LOC111331116;LOC111324489;LOC111331721;LOC111320587;LOC111327932;LOC111326832;LOC111339641;LOC111321257;LOC111323488;LOC111322333;LOC111330022;LOC111331719;LOC111335916;LOC111321885;LOC111323202;LOC111338570;LOC111330794;LOC111337161;LOC111340359;LOC111344588;LOC111341282;LOC111335048;LOC111335471;LOC111332971;LOC111343790;LOC111339654;LOC111343887;LOC111332953;LOC111330601;LOC111338076;LOC111330295;LOC111341697;LOC111327461;LOC111325484;LOC111334600;LOC111334741;LOC111339643;LOC111329481;LOC111327540;LOC111322877;LOC111330292
Gluconeogenesis,HF,0.00978770293116429,0.0379931264317238,0.380730400722792,0.366442204825548,1.44809523110944,132,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111342103;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111328646;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111329531;LOC111332435;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889;LOC111332077
Abacavir metabolism,HF,0.011035195840878,0.0415521668073168,0.380730400722792,0.370682391979465,1.44643889062694,121,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889;LOC111328735;LOC111327619;LOC111319399
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,HF,0.0110802932269246,0.0415521668073168,0.380730400722792,0.421763176867575,1.54184633596454,77,LOC111320781;LOC111335693;LOC111343161;LOC111320842;LOC111328588;LOC111328589;LOC111345231;LOC111328603;LOC111320818;LOC111327524;LOC111330483;LOC111320650;LOC111324842;LOC111342188;LOC111335674;LOC111330701;LOC111335691;LOC111333809;LOC111324039;LOC111343165;LOC111340679;LOC111343164;LOC111337261;LOC111323994;LOC111336301;LOC111326339
RUNX3 regulates CDKN1A transcription,HF,0.0109455888370228,0.0415521668073168,0.380730400722792,0.356089460456295,1.46362406831205,171,LOC111330631;LOC111325642;LOC111322288;LOC111341087;LOC111326654;LOC111338776;LOC111339122;LOC111335662;LOC111322526;LOC111331301;LOC111333767;LOC111343646;LOC111331073;LOC111344472;LOC111333334;LOC111337190;LOC111338176;LOC111345422;LOC111341729;LOC111330639;LOC111336549;LOC111347685;LOC111333362;LOC111321376;LOC111320994;LOC111342489;LOC111335932;LOC111333325;LOC111337947;LOC111330590;LOC111335319;LOC111322899;LOC111328363
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,HF,0.0122412167607317,0.045092645414532,0.380730400722792,0.372845472133901,1.45713309723859,122,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,HF,0.012807034321502,0.0457756375253684,0.380730400722792,0.359935238084793,1.41423758314788,130,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111323854;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
NOTCH2 Activation and Transmission of Signal to the Nucleus,HF,0.0132778887524844,0.0469933121534007,0.380730400722792,0.466450922745667,1.55488393290121,47,LOC111329099;LOC111327333;LOC111330856;LOC111331324;LOC111336934;LOC111339975;LOC111327334;LOC111321680;LOC111340617;LOC111340596;LOC111327524;LOC111343450;LOC111332831;LOC111340679
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,HF,0.0139246899627668,0.0472441361592787,0.380730400722792,0.36321008134031,1.42870444235234,129,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111323854;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Digestion of dietary lipid,HF,0.0141339797928036,0.0472441361592787,0.380730400722792,0.443666902165034,1.53830113619172,58,LOC111340872;LOC111340194;LOC111335819;LOC111321012;LOC111321971;LOC111323811;LOC111339547;LOC111327165;LOC111337639;LOC111327696;LOC111321616;LOC111327447;LOC111334397;LOC111332472;LOC111342271;LOC111326936;LOC111335762;LOC111325151
Platelet homeostasis,HF,0.0141339797928036,0.0472441361592787,0.380730400722792,0.443666902165034,1.53830113619172,58,LOC111340872;LOC111340194;LOC111335819;LOC111321012;LOC111321971;LOC111323811;LOC111339547;LOC111327165;LOC111337639;LOC111327696;LOC111321616;LOC111327447;LOC111334397;LOC111332472;LOC111342271;LOC111326936;LOC111335762;LOC111325151
STAT6-mediated induction of chemokines,HF,0.0136270148845881,0.0472441361592787,0.380730400722792,0.450023772345081,1.55204293838508,56,LOC111324127;LOC111344472;LOC111340901;LOC111345422;LOC111324842;LOC111342489;LOC111328363;LOC111325619;LOC111327511;LOC111324489;LOC111326832;LOC111339641;LOC111329394;LOC111327520;LOC111336921;LOC111332971;LOC111323989;LOC111339654;LOC111332953;LOC111335777;LOC111325160;LOC111334600;LOC111344537;LOC111339643
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",HF,0.0141339797928036,0.0472441361592787,0.380730400722792,0.443666902165034,1.53830113619172,58,LOC111340872;LOC111340194;LOC111335819;LOC111321012;LOC111321971;LOC111323811;LOC111339547;LOC111327165;LOC111337639;LOC111327696;LOC111321616;LOC111327447;LOC111334397;LOC111332472;LOC111342271;LOC111326936;LOC111335762;LOC111325151
Formation of Senescence-Associated Heterochromatin Foci (SAHF),NF,8.07457841199016E-06,0.000582984561345689,0.593325476396405,-0.345440291785352,-1.70315408667185,265,LOC111328602;LOC111339304;LOC111330090;LOC111329325;LOC111332020;LOC111327412;LOC111320769;LOC111336558;LOC111325476;LOC111331563;LOC111323186;LOC111329204;LOC111339606;LOC111331456;LOC111325182;LOC111329708;LOC111336972;LOC111345392;LOC111329363;LOC111320939;LOC111343885;LOC111330363;LOC111323107;LOC111340260;LOC111321475;LOC111334539;LOC111339681;LOC111321721;LOC111341708;LOC111336420;LOC111326177;LOC111332017;LOC111323742;LOC111337757;LOC111324226;LOC111333319;LOC111322045;LOC111336239;LOC111347469;LOC111341451;LOC111340626;LOC111329286;LOC111322543;LOC111322355;LOC111324351;LOC111321222;LOC111346330;LOC111329469;LOC111337539;LOC111320833;LOC111323882;LOC111326061;LOC111335161;LOC111335657;LOC111319041;LOC111342126;LOC111333250;LOC111327795;LOC111340644;LOC111324011;LOC111337966;LOC111345887;LOC111337596;LOC111321655;LOC111325195;LOC111334629;LOC111320776;LOC111323331;LOC111328222;LOC111333228;LOC111345733;LOC111320700;LOC111321584;LOC111343179;LOC111337745;LOC111323927;LOC111336316;LOC111322491;LOC111333231;LOC111325066;LOC111331780;LOC111321386;LOC111337383;LOC111330073;LOC111331529;LOC111328081;LOC111336504
"Sensory perception of sweet, bitter, and umami (glutamate) taste",NF,1.91823211783986E-05,0.000865602243175237,0.575610261071129,-0.527866380747957,-2.0295379260958,57,LOC111323527;LOC111333248;LOC111324824;LOC111326801;LOC111326463;LOC111325892;LOC111326949;LOC111326476;LOC111325867;LOC111332340;LOC111327256;LOC111324222;LOC111323367;LOC111321890;LOC111347269;LOC111333929;LOC111336361;LOC111324976;LOC111329517;LOC111328840;LOC111326965;LOC111326783;LOC111340301;LOC111325826;LOC111325084;LOC111336764;LOC111319649;LOC111330963;LOC111326797;LOC111325907;LOC111331319;LOC111321163;LOC111336758
Elevation of cytosolic Ca2+ levels,NF,4.93598609992089E-05,0.00178150956708264,0.557332238758646,-0.349458441201694,-1.64329280444195,195,LOC111323092;LOC111323527;LOC111333248;LOC111335179;LOC111335234;LOC111331369;LOC111320630;LOC111324824;LOC111326104;LOC111344357;LOC111326319;LOC111329625;LOC111326801;LOC111332847;LOC111340670;LOC111326463;LOC111325892;LOC111326949;LOC111326476;LOC111330776;LOC111329285;LOC111325867;LOC111332340;LOC111327256;LOC111333344;LOC111336031;LOC111324222;LOC111323367;LOC111321890;LOC111336582;LOC111335520;LOC111339104;LOC111347269;LOC111333929;LOC111335226;LOC111333353;LOC111335242;LOC111336361;LOC111344259;LOC111324389;LOC111335368;LOC111332142;LOC111323307;LOC111331872;LOC111323586;LOC111323305;LOC111333317;LOC111334817;LOC111324976;LOC111329517;LOC111333990;LOC111336319;LOC111323986;LOC111328840;LOC111326965;LOC111335617;LOC111335477;LOC111326783;LOC111332474;LOC111325739;LOC111340301;LOC111321113;LOC111325826;LOC111325084;LOC111325821
