Condition,Symbol,Description,Primary_category,log2FoldChange,abs_log2FoldChange,padj
Fluorescent,LOC111345167,uncharacterized LOC111345167,Other,2.47025753017907,2.47025753017907,1.7193762488786E-05
Fluorescent,LOC111329191,uncharacterized LOC111329191,Other,2.37365660609786,2.37365660609786,2.63956029862017E-06
Fluorescent,LOC111344278,uncharacterized LOC111344278,Other,2.25119471625205,2.25119471625205,2.36768414017662E-07
Fluorescent,LOC111323911,uncharacterized LOC111323911,Other,2.23008915958801,2.23008915958801,1.9083839135287E-06
Fluorescent,LOC111339967,uncharacterized LOC111339967,Other,2.19974532365571,2.19974532365571,3.67237173438055E-06
Fluorescent,LOC111337461,glutamic acid-rich protein-like ,Biomineralization,2.18216382561883,2.18216382561883,3.42878734019172E-05
Fluorescent,LOC111343259,piggyBac transposable element-derived protein 4-like,Other,1.91692383895523,1.91692383895523,0.0000329012766842999
Fluorescent,LOC111342023,receptor-type tyrosine-protein phosphatase epsilon-like,Morphogenesis,1.65187549125831,1.65187549125831,5.31807636351407E-05
Non-fluorescent,LOC111324201,coadhesin-like,ECM/adhesion,-1.65011210573398,1.65011210573398,1.35089983903463E-12
Non-fluorescent,LOC111335366,SH3 and PX domain-containing protein 2A-like,ECM/adhesion,-1.4450784106447,1.4450784106447,0.000113158203831921
Non-fluorescent,LOC111325783,A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like,ECM/adhesion,-1.29943372474307,1.29943372474307,0.000220682607453842
Non-fluorescent,LOC111328433,filamin-A-like,Cytoskeleton,-1.40470552418037,1.40470552418037,0.000254892031846151
Non-fluorescent,LOC111339304,echinoderm microtubule-associated protein-like 6,Cytoskeleton,-1.18642188331982,1.18642188331982,0.00576866857132159
Non-fluorescent,LOC111331219,dynein heavy chain domain-containing protein 1-like,Cytoskeleton,-1.18369608500007,1.18369608500007,0.00731825723809558
Non-fluorescent,LOC111331389,"dynein heavy chain 1, axonemal-like",Cytoskeleton,-1.05740503442104,1.05740503442104,0.00117097303012211
Non-fluorescent,LOC111325186,GABA-B receptor subunit 2-like,Neuro-sensing,-1.42765641204279,1.42765641204279,0.00129630176257497
Non-fluorescent,LOC111325942,plexin domain-containing protein 2-like,Neuro-sensing,-1.41926625000538,1.41926625000538,0.0221971635784741
Non-fluorescent,LOC111337892,polycystic kidney disease protein 1-like 2,Neuro-sensing,-1.27074193094585,1.27074193094585,0.00467666415962358
Non-fluorescent,LOC111340608,lipoxygenase homology domain-containing protein 1-like,Metabolism,-1.24473341625037,1.24473341625037,0.00237056605029778
Non-fluorescent,LOC111326058,plasma membrane calcium-transporting ATPase 2-like,Biomineralization,-1.22643902511449,1.22643902511449,0.0248817149975981
Non-fluorescent,LOC111323527,transient receptor potential cation channel subfamily M member 2-like,Neuro-sensing,-1.14410161046867,1.14410161046867,0.00489615621764803
Non-fluorescent,LOC111331858,Down syndrome cell adhesion molecule-like protein 1 homolog,Immunity,-1.09698605147663,1.09698605147663,0.0309908460736376
Non-fluorescent,LOC111336974,low-density lipoprotein receptor-related protein 8-like,Morphogenesis,-1.0786319085177,1.0786319085177,0.000346883958950896
Non-fluorescent,LOC111339822,alpha-2A adrenergic receptor-like,Other,-1.04312449942345,1.04312449942345,0.0156026029309623
Non-fluorescent,LOC111336828,solute carrier family 12 member 1-like,Neuro-sensing,-1.01673804627131,1.01673804627131,2.39168347651599E-05
Non-fluorescent,LOC111323092,palmitoyltransferase AKR1-like,Metabolism,-2.48605416982784,2.48605416982784,1.6217445353912E-05
Non-fluorescent,LOC111332887,cytochrome P450 1A1-like,Redox regulation,-1.59250816885567,1.59250816885567,0.045516986534212
Non-fluorescent,LOC111336930,monocarboxylate transporter 10-like,Metabolism,-1.28282803459487,1.28282803459487,0.00643394519233713
Non-fluorescent,LOC111326885,allene oxide synthase-lipoxygenase protein-like,Metabolism,-1.24698655630238,1.24698655630238,0.000822257751476276
Non-fluorescent,LOC111324410,protein phosphatase 1 regulatory subunit 3B-B-like,Metabolism,-1.14860711449306,1.14860711449306,0.00524302074570701
Non-fluorescent,LOC111322597,D-amino-acid oxidase-like,Redox regulation,-1.14768144902532,1.14768144902532,0.0199791114666987
Non-fluorescent,LOC111331303,cytosolic phospholipase A2-like,Metabolism,-1.08902365260241,1.08902365260241,0.0136798548273108
Non-fluorescent,LOC111332020,forkhead box protein D3-A-like,Morphogenesis,-3.77462362071404,3.77462362071404,0.0232012739545702
Non-fluorescent,LOC111338817,fibroblast growth factor 1-like,Morphogenesis,-2.25267568959514,2.25267568959514,0.0458611107561207
Non-fluorescent,LOC111338573,E3 ubiquitin-protein ligase TRIM71-like,Morphogenesis,-1.97817919127957,1.97817919127957,0.0130166272393319
Non-fluorescent,LOC111328602,fork head domain-containing protein FD5-like,Morphogenesis,-1.60520144816722,1.60520144816722,0.000220682607453842
Non-fluorescent,LOC111321709,retinal homeobox protein Rx1-like,Morphogenesis,-1.22465259611338,1.22465259611338,0.00360077309185868
Non-fluorescent,LOC111325851,paired box protein Pax-3-B-like,Morphogenesis,-1.0572295605571,1.0572295605571,0.0184911069286245
Non-fluorescent,LOC111334412,protocadherin Fat 4-like,Morphogenesis,-1.03394373815695,1.03394373815695,0.0267004071154893
Non-fluorescent,LOC111327626,dimethylaniline monooxygenase [N-oxide-forming] 2-like,Redox regulation,-2.63778663341965,2.63778663341965,0.0307590368316371
Non-fluorescent,LOC111322400,peroxidasin homolog,Redox regulation,-1.50761517282252,1.50761517282252,0.00105975985756163
Non-fluorescent,LOC111335313,uncharacterized LOC111335313,Other,-2.8832133930566,2.8832133930566,0.0197846313723027
Non-fluorescent,LOC111333170,uncharacterized LOC111333170,Other,-2.07573300075135,2.07573300075135,0.00045277433499205
Non-fluorescent,LOC111327226,uncharacterized LOC111327226,Other,-1.95944630321773,1.95944630321773,1.35089983903463E-12
Non-fluorescent,LOC111330113,E3 ubiquitin-protein ligase RGLG5-like,Other,-1.86013209541295,1.86013209541295,0.0111577865293584
Non-fluorescent,LOC111330437,desumoylating isopeptidase 2-like,Other,-1.73704408862405,1.73704408862405,0.0477769673861722
Non-fluorescent,LOC111331286,nuclear envelope pore membrane protein POM 121-like,Nuclear/cell cycle,-1.6305219751232,1.6305219751232,0.0455402839236774
Non-fluorescent,LOC111346562,uncharacterized LOC111346562,Other,-1.50180526645563,1.50180526645563,1.25477685752843E-05
Non-fluorescent,LOC111323999,uncharacterized LOC111323999,Other,-1.45189486677284,1.45189486677284,0.00129701700055349
Non-fluorescent,LOC111330877,signal transducing adapter molecule 2-like,Other,-1.44530482134564,1.44530482134564,0.0453669293821523
Non-fluorescent,LOC111324008,uncharacterized LOC111324008,Other,-1.31604408137328,1.31604408137328,0.000332942683078351
Non-fluorescent,LOC111328662,nucleolin-like,Nuclear/cell cycle,-1.3046915917719,1.3046915917719,4.89559841180716E-05
Non-fluorescent,LOC111342215,uncharacterized LOC111342215,Other,-1.28698682943045,1.28698682943045,0.0439897054082773
Non-fluorescent,LOC111343618,uncharacterized LOC111343618,Other,-1.23933080115693,1.23933080115693,0.000527032377317881
Non-fluorescent,LOC111338572,uncharacterized LOC111338572/mucin 4-like,ECM/adhesion,-1.2047031333908,1.2047031333908,0.000608530447129308
Non-fluorescent,LOC111324530,uncharacterized LOC111324530,Other,-1.19295148491092,1.19295148491092,0.0435827479390787
Non-fluorescent,LOC111327558,uncharacterized LOC111327558,Other,-1.17498968256654,1.17498968256654,0.0494281047448005
Non-fluorescent,LOC111331825,uncharacterized LOC111331825,Other,-1.13722238494308,1.13722238494308,0.0154482881807224
Non-fluorescent,LOC111322871,uncharacterized LOC111322871,Other,-1.10469378133406,1.10469378133406,0.0110375703256258
Non-fluorescent,LOC111336924,uncharacterized LOC111336924,Other,-1.07905402209378,1.07905402209378,0.00510477229154143
Non-fluorescent,LOC111328428,uncharacterized LOC111328428,Other,-1.07370689688484,1.07370689688484,0.00465722153407507
Non-fluorescent,LOC111331440,uncharacterized LOC111331440,Other,-1.06887393775071,1.06887393775071,0.00169215773230662
Non-fluorescent,LOC111341935,protein FAM172A-like,Nuclear/cell cycle,-1.0607137671337,1.0607137671337,0.0408784864258525
Non-fluorescent,LOC111338856,uncharacterized LOC111338856,Other,-1.05379109844136,1.05379109844136,0.00391275661169048
Non-fluorescent,LOC111344195,chromosome alignment-maintaining phosphoprotein 1-like,Nuclear/cell cycle,-1.03555133254999,1.03555133254999,0.0129382834850768
