sample id,Species,Temp,pH,Light,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
79,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39866,375.8,-2,75.5,14.07,7.6,13.5,5.8,0.432,295,0,0.69,1207,0.05,20746,0.26,21293,--------,-------,2553,7383,1700,14.4,16.5,2.1,0.129,911,0.01,0.026,427,0.049,11483,0.924,12995,--------,-------,12646,12588,79.1
80,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,39913,900,-2,75.7,14.07,4.7,7.5,2.8,0.367,527.3,0.49,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,10.5,9.7,-0.8,-0.083,193.4,0.7,0.248,1135,0.672,11580,0.08,223558,--------,-------,8764,25950,114.1
81,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40243,789.9,-2,76.1,14.03,6,9.6,3.6,0.375,391.1,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,9.5,8.8,-0.7,-0.081,419.2,0.69,0.106,2649,0.818,22996,0.076,422090,--------,-------,20653,51072,48.4
82,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40257,900,-2,76.3,14.02,7.1,9.5,2.4,0.255,425.1,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,12.9,10.7,-2.2,-0.203,250.4,0.47,0.045,31,0.882,31,0.073,40,--------,-------,32,32,31389.6
83,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40269,630,-2,76.2,14.02,6.9,11.3,4.4,0.389,313.6,0,0.72,415,0.03,513,0.26,210376,--------,-------,418,54590,1800,12.4,13.1,0.7,0.05,2666.9,0.69,0.694,163,0.271,13346,0.036,73336,--------,-------,3864,6348,258.8
84,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40295,900,-2,76,14.01,2.3,2.5,0.3,0.103,274,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,4.1,2.6,-1.5,-0.57,296.3,0.69,0.296,1187,0.629,10380,0.075,212309,--------,-------,7441,22849,134.4
85,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40307,629.3,-2,76.2,14.02,7.3,10.7,3.4,0.315,417.3,0.7,0.42,645,0.42,3733,0.17,132006,--------,-------,2185,23619,1800,10.3,12.3,2,0.162,499.2,0.01,0.263,802,0.068,9366,0.668,9383,--------,-------,6960,7124,143.7
86,Stylophora,23,8.2,10m,NF,20250408.1,Aug-25,40318,894.8,-2,76,14.01,5.3,8.5,3.2,0.379,385.7,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,8.7,10.5,1.7,0.164,169.3,0.7,0.85,217,0.136,2042,0.015,39413,--------,-------,468,1041,2136.3
87,Stylophora,23,8.2,10m,NF,20250408.1,Aug-25,40328,719.1,-2,76.2,14.01,7,10.7,3.8,0.35,293.9,0.51,0.75,595,0.05,603,0.2,901055,--------,-------,595,180007,1800,12.4,14.3,2,0.138,748.2,0.01,0.954,26,0.046,12799,0,70255,--------,-------,612,620,1634.1
88,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43147,900,3,35.2,16.43,5.4,7.4,2,0.274,288.3,0.01,0.5,664,0.4,2961,0.1,33105,--------,-------,1685,4884,1800,6,8.4,2.4,0.284,772.9,0.01,0.782,214,0.001,12088,0.217,12587,--------,-------,2906,2913,344.2
89,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43162,630,2.9,35.8,16.43,8.7,14.7,6,0.408,566.5,0.09,0.72,521,0.22,20993,0.06,21080,--------,-------,2214,6265,1600,15.3,17,1.7,0.101,1335.1,0.7,0.363,867,0.569,9026,0.067,51200,--------,-------,5847,8904,171
90,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43174,441,3.2,36,16.41,6.2,9.1,2.9,0.318,194.4,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,8.6,10.7,2.1,0.195,165,0.7,0.817,423,0.154,2394,0.03,42929,--------,-------,735,1994,1360.5
91,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43189,290.4,2.8,36.3,16.41,8.1,14.4,6.3,0.437,463.1,0.32,0.31,798,0.51,3171,0.18,673297,--------,-------,2264,122343,1700,14.2,15.9,1.8,0.11,243.8,0.01,0.001,229,0.065,12387,0.935,12396,--------,-------,12386,12386,80.7
92,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43206,267.1,2.6,36.1,16.4,7.4,10.4,3,0.29,275.3,0.45,0.48,934,0.16,939,0.36,209287,--------,-------,935,76241,1800,10.7,11.6,0.9,0.079,150.9,0.69,0.02,847,0.083,11976,0.897,12065,--------,-------,11816,11829,84.6
93,Stylophora,23,8.2,10m,NF,20250514.02,5/14/2025,45125,487.6,2.3,35.2,16.42,5.4,9.9,4.6,0.462,281,0,0.77,198,0.16,2387,0.07,641792,--------,-------,579,45766,1700,10.8,12.1,1.3,0.105,783.6,0.01,0.017,668,0.883,14951,0.1,15666,--------,-------,14683,14781,68.1
94,Stylophora,23,8.2,10m,NF,20250514.02,5/14/2025,45145,561,2.2,36.2,16.41,5.5,1.8,-3.7,-2.026,679.8,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,0.4,3.6,3.2,0.884,1971.8,0.67,0.899,280,0.088,5320,0.012,106400,--------,-------,731,2045,1367.4
95,Stylophora,23,8.2,10m,NF,20250514.02,5/14/2025,45159,900,2.5,36,16.4,4.9,7.3,2.4,0.331,365.9,0.39,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,11,9.8,-1.2,-0.119,395.7,0.7,0.225,1598,0.694,14796,0.082,288248,--------,-------,11564,34116,86.5
96,Stylophora,23,8.2,Dark,HF,20250408.07,Aug-25,37098,506.1,-0.6,72.2,14.38,7.9,10.8,2.9,0.266,287.5,0.69,0.13,496,0.6,5582,0.27,150471,--------,-------,4648,43460,1600,15,13.7,-1.3,-0.092,205,0.69,0.736,81,0.261,5422,0.003,145828,--------,-------,1478,1927,676.5
97,Stylophora,23,8.2,Dark,HF,20250408.07,Aug-25,37112,354.3,-0.7,71.7,14.38,5.5,7.5,2,0.26,219.2,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,7.8,12.1,4.3,0.358,74,0.7,0.995,106,0.003,1102,0.002,23525,--------,-------,108,166,9236.1
98,Stylophora,23,8.2,Dark,HF,20250408.08,Aug-25,37127,248,-0.7,72.6,14.38,6.1,5.8,-0.4,-0.061,162.8,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,5.7,6.6,0.9,0.143,202.4,0.68,0.844,172,0.142,1793,0.014,18397,--------,-------,406,657,2460.5
99,Stylophora,23,8.2,Dark,HF,20250408.08,Aug-25,37142,162.9,-0.6,72.7,14.38,5.8,7.6,1.9,0.246,682.6,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,7.3,9.2,1.9,0.204,631.1,0,0.003,39,0.993,49,0.004,570,--------,-------,51,51,19633.2
100,Stylophora,23,8.2,Dark,HF,20250408.08,Aug-25,37155,197,-0.6,72.8,14.38,5,8.2,3.1,0.382,1030.6,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,7.5,10,2.5,0.252,102.8,0.7,0.545,657,0.408,6568,0.047,131350,--------,-------,3186,9237,313.8
101,Stylophora,23,8.2,Dark,HF,20250408.08,Aug-25,37167,326.6,-0.7,72.9,14.38,5.7,8.5,2.8,0.326,678.3,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,5.5,6.9,1.3,0.196,1529.7,0.7,0.803,133,0.169,7573,0.028,131967,--------,-------,1427,5128,700.7
102,Stylophora,23,8.2,Dark,HF,20250408.08,Aug-25,37185,228.6,-0.7,73,14.37,6,9.3,3.3,0.353,356.8,0.64,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,9.9,12.2,2.2,0.185,596.6,0.45,0.007,45,0.988,46,0.005,1776,--------,-------,54,54,18532.3
103,Stylophora,23,8.2,Dark,HF,20250408.08,Aug-25,37199,527.6,-0.8,72.8,14.37,6.3,9.4,3.1,0.328,799.9,0.1,0.62,749,0.16,19594,0.22,149654,--------,-------,4540,36695,1800,12.3,13.4,1.1,0.08,293.9,0.01,0.024,925,0.077,12148,0.899,12157,--------,-------,11866,11888,84.3
104,Stylophora,23,8.2,Dark,NF,20250408.08,Aug-25,37212,369.3,-0.7,72.7,14.36,6.4,8.3,1.8,0.222,672.2,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,11.4,10.5,-0.9,-0.088,199.4,0.7,0.316,1061,0.61,10236,0.073,209675,--------,-------,7103,21970,140.8
105,Stylophora,23,8.2,Dark,NF,20250408.08,Aug-25,37223,463.3,-0.7,72.7,14.37,7.7,11.5,3.7,0.327,682.3,0.2,0.58,600,0.19,6690,0.23,114293,--------,-------,2090,28181,1800,11,13,2,0.154,396.4,0.01,0.177,2015,0.711,16753,0.112,16757,--------,-------,13817,14148,72.4
106,Stylophora,23,8.2,Dark,NF,20250408.08,Aug-25,37234,456.5,-0.8,72.4,14.36,4.2,5.8,1.6,0.276,368.9,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,4.9,4.5,-0.4,-0.094,394.4,0.64,0.101,1908,0.836,20309,0.063,269627,--------,-------,18319,34095,54.6
107,Stylophora,23,8.2,Dark,NF,20250408.08,Aug-25,39710,319.6,-1.9,75.5,14.09,3.8,5.9,2.1,0.362,322.4,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,4.9,6,1.2,0.192,207.7,0.69,0.893,301,0.094,4216,0.013,81104,--------,-------,674,1725,1484.1
108,Stylophora,23,8.2,Dark,NF,20250408.09,Aug-25,39724,386.5,-2,75.4,14.09,3.2,4.8,1.7,0.343,300.2,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,3.5,5,1.5,0.296,113.9,0.68,0.695,354,0.275,3515,0.03,70305,--------,-------,1251,3312,799.4
