sample id,Species,Temp,pH,Light,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
53,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39854,425.5,-2,75.3,14.08,10.8,20.9,10.1,0.483,532.7,0.39,0.61,225,0.28,6786,0.11,837675,--------,-------,2257,94168,1600,22,24.7,2.7,0.11,1568.5,0.7,0.161,602,0.771,13295,0.068,39824,--------,-------,11106,13060,90
54,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39866,375.8,-2,75.5,14.07,7.6,13.5,5.8,0.432,295,0,0.69,1207,0.05,20746,0.26,21293,--------,-------,2553,7383,1700,14.4,16.5,2.1,0.129,911,0.01,0.026,427,0.049,11483,0.924,12995,--------,-------,12646,12588,79.1
55,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,39913,900,-2,75.7,14.07,4.7,7.5,2.8,0.367,527.3,0.49,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,10.5,9.7,-0.8,-0.083,193.4,0.7,0.248,1135,0.672,11580,0.08,223558,--------,-------,8764,25950,114.1
56,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40243,789.9,-2,76.1,14.03,6,9.6,3.6,0.375,391.1,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,9.5,8.8,-0.7,-0.081,419.2,0.69,0.106,2649,0.818,22996,0.076,422090,--------,-------,20653,51072,48.4
57,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40257,900,-2,76.3,14.02,7.1,9.5,2.4,0.255,425.1,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,12.9,10.7,-2.2,-0.203,250.4,0.47,0.045,31,0.882,31,0.073,40,--------,-------,32,32,31389.6
58,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40269,630,-2,76.2,14.02,6.9,11.3,4.4,0.389,313.6,0,0.72,415,0.03,513,0.26,210376,--------,-------,418,54590,1800,12.4,13.1,0.7,0.05,2666.9,0.69,0.694,163,0.271,13346,0.036,73336,--------,-------,3864,6348,258.8
59,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40295,900,-2,76,14.01,2.3,2.5,0.3,0.103,274,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,4.1,2.6,-1.5,-0.57,296.3,0.69,0.296,1187,0.629,10380,0.075,212309,--------,-------,7441,22849,134.4
60,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40307,629.3,-2,76.2,14.02,7.3,10.7,3.4,0.315,417.3,0.7,0.42,645,0.42,3733,0.17,132006,--------,-------,2185,23619,1800,10.3,12.3,2,0.162,499.2,0.01,0.263,802,0.068,9366,0.668,9383,--------,-------,6960,7124,143.7
61,Stylophora,23,8.2,10m,NF,20250408.1,Aug-25,40318,894.8,-2,76,14.01,5.3,8.5,3.2,0.379,385.7,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,8.7,10.5,1.7,0.164,169.3,0.7,0.85,217,0.136,2042,0.015,39413,--------,-------,468,1041,2136.3
62,Stylophora,23,8.2,10m,NF,20250408.1,Aug-25,40328,719.1,-2,76.2,14.01,7,10.7,3.8,0.35,293.9,0.51,0.75,595,0.05,603,0.2,901055,--------,-------,595,180007,1800,12.4,14.3,2,0.138,748.2,0.01,0.954,26,0.046,12799,0,70255,--------,-------,612,620,1634.1
