Sample No,morph,no of polyps,temp,pH,light,Conc (Cells/mL),Conc (Cell/polyp),Average,Count1,Count2,Count3,Count4,
93,PF,3,32,8.2,10m,320000,106666.6667,32,21,18,54,35,
94,PF,3,27,8.2,10m,142500,47500,14.25,17,16,12,12,
95,PF,3,27,8.2,10m,200000,66666.66667,20,25,25,12,18,20
96,HF,1,27,8.2,10m,95000,#DIV/0!,9.5,9,9,13,7,
97,PF,3,27,8.2,10m,155000,51666.66667,15.5,14,20,14,14,
98,PF,4,27,8.2,10m,112500,28125,11.25,18,12,10,5,
99,HF,1,32,8.2,10m,22500,22500,2.25,1,3,4,1,
100,NF,2,32,8.2,10m,62000,31000,6.2,8,4,7,5,7
10,PF,4,23,8.2,10m,106000,26500,10.6,8,13,10,10,12
1,HF,2,23,8.2,10m,154000,77000,15.4,28,12,11,18,8
2,HF,4,23,8.2,10m,248000,62000,24.8,23,34,28,22,17
3,HF,3,23,8.2,10m,108000,36000,10.8,13,8,7,16,10
4,PF,4,23,8.2,10m,138000,34500,13.8,14,10,12,14,19
5,PF,4,23,8.2,10m,178000,44500,17.8,20,23,13,16,17
6,PF,4,23,8.2,10m,186000,46500,18.6,18,29,12,11,23
7,PF,4,23,8.2,10m,82000,20500,8.2,11,7,4,7,12
8,PF,4,23,8.2,10m,188000,47000,18.8,10,16,28,22,18
9,PF,4,23,8.2,10m,94000,23500,9.4,12,7,3,12,13
